p,seed,epoch,layer,mean,median,p90,p99
0.375,2024,1,conv1,0.0005778110353276134,0.0004138636577408761,0.0010874482104554772,0.003311822423711419
0.375,2024,1,conv2,0.011185279116034508,0.009065135382115841,0.01966269314289093,0.03443076089024544
0.375,2024,1,fc1,0.4930710196495056,0.4814234972000122,0.589177131652832,0.7798238396644592
0.375,2024,1,fc2,0.4951658546924591,0.5089095234870911,0.5894237756729126,0.6519395709037781
0.375,2024,2,conv1,0.009760604240000248,0.008764891885221004,0.016177788376808167,0.02526715025305748
0.375,2024,2,conv2,0.07588078081607819,0.07354304939508438,0.09807145595550537,0.13370370864868164
0.375,2024,2,fc1,0.716917097568512,0.719454288482666,0.7675642967224121,0.7967641353607178
0.375,2024,2,fc2,0.1974414587020874,0.1942003071308136,0.24879871308803558,0.3096853196620941
0.375,2024,3,conv1,0.01579475775361061,0.013982713222503662,0.026615653187036514,0.03925608843564987
0.375,2024,3,conv2,0.10403234511613846,0.10120593011379242,0.1326386034488678,0.16654136776924133
0.375,2024,3,fc1,0.6560168266296387,0.6599848866462708,0.7213133573532104,0.7638742923736572
0.375,2024,3,fc2,0.22415605187416077,0.21724861860275269,0.3018254339694977,0.3869001567363739
0.375,2024,4,conv1,0.020629582926630974,0.017802082002162933,0.03558347001671791,0.05229079723358154
0.375,2024,4,conv2,0.1193542629480362,0.11800186336040497,0.1457809954881668,0.17150096595287323
0.375,2024,4,fc1,0.6371467113494873,0.638303279876709,0.7065846920013428,0.7540187239646912
0.375,2024,4,fc2,0.22286945581436157,0.21849730610847473,0.303424596786499,0.37744203209877014
0.375,2024,5,conv1,0.02949933148920536,0.02363148331642151,0.05462105944752693,0.08509509265422821
0.375,2024,5,conv2,0.15237201750278473,0.15046611428260803,0.1796305924654007,0.20706656575202942
0.375,2024,5,fc1,0.6584621071815491,0.6607611179351807,0.7147758603096008,0.7553775310516357
0.375,2024,5,fc2,0.1596665382385254,0.1552693247795105,0.21652761101722717,0.2709488868713379
