damping,dp_adamw_accuracy,dp_adamw_accuracy_auc,dp_kfc_accuracy,dp_kfc_accuracy_auc,dp_kfc_a_accuracy,dp_kfc_a_accuracy_auc,delta_kfc_vs_adamw,delta_kfc_a_vs_adamw,delta_kfc_a_vs_kfc
0.001,0.3918,6.650849999999999,0.3584,6.2201,0.3586,6.218999999999999,-0.033399999999999985,-0.03320000000000001,0.00019999999999997797
0.01,0.3918,6.650849999999999,0.3749,6.410749999999999,0.3703,6.34475,-0.01689999999999997,-0.021499999999999964,-0.004599999999999993
0.1,0.3918,6.650849999999999,0.381,6.48875,0.3793,6.4708,-0.010799999999999976,-0.012499999999999956,-0.0016999999999999793
