method,damping,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,noise_multiplier,epsilon,accountant_steps,logical_steps,samples,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,builder_seconds,private_train_seconds,algorithm_seconds,logical_steps_per_second,samples_per_second,preconditioner_build_seconds,logical_batch_size,physical_batch_size,accumulation_steps,backward_calls,optimizer_steps,noise_events,bk_cache_bytes,temporary_per_sample_grad_bytes,fallback_temporary_grad_bytes,cache_empty_after_step,layer_strategies,parameters_finite,total_parameter_count,trainable_parameter_count,lora_parameter_count,head_parameter_count,lora_a_norm,lora_b_norm,q_proj_lora_norm,v_proj_lora_norm,head_norm,frozen_backbone_unchanged,trainable_lora_updated,head_updated,preconditioned_layers,identity_geometry_layers,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,builder_forward_calls,builder_logical_batches,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,group_norm_patch_head,group_norm_identity,layer_norm_blocks_0_attn_q_proj_lora_A,layer_norm_blocks_0_attn_q_proj_lora_B,layer_norm_blocks_0_attn_v_proj_lora_A,layer_norm_blocks_0_attn_v_proj_lora_B,layer_norm_blocks_1_attn_q_proj_lora_A,layer_norm_blocks_1_attn_q_proj_lora_B,layer_norm_blocks_1_attn_v_proj_lora_A,layer_norm_blocks_1_attn_v_proj_lora_B,layer_norm_blocks_2_attn_q_proj_lora_A,layer_norm_blocks_2_attn_q_proj_lora_B,layer_norm_blocks_2_attn_v_proj_lora_A,layer_norm_blocks_2_attn_v_proj_lora_B,layer_norm_blocks_3_attn_q_proj_lora_A,layer_norm_blocks_3_attn_q_proj_lora_B,layer_norm_blocks_3_attn_v_proj_lora_A,layer_norm_blocks_3_attn_v_proj_lora_B,layer_norm_blocks_4_attn_q_proj_lora_A,layer_norm_blocks_4_attn_q_proj_lora_B,layer_norm_blocks_4_attn_v_proj_lora_A,layer_norm_blocks_4_attn_v_proj_lora_B,layer_norm_blocks_5_attn_q_proj_lora_A,layer_norm_blocks_5_attn_q_proj_lora_B,layer_norm_blocks_5_attn_v_proj_lora_A,layer_norm_blocks_5_attn_v_proj_lora_B,layer_norm_blocks_6_attn_q_proj_lora_A,layer_norm_blocks_6_attn_q_proj_lora_B,layer_norm_blocks_6_attn_v_proj_lora_A,layer_norm_blocks_6_attn_v_proj_lora_B,layer_norm_blocks_7_attn_q_proj_lora_A,layer_norm_blocks_7_attn_q_proj_lora_B,layer_norm_blocks_7_attn_v_proj_lora_A,layer_norm_blocks_7_attn_v_proj_lora_B,layer_norm_blocks_8_attn_q_proj_lora_A,layer_norm_blocks_8_attn_q_proj_lora_B,layer_norm_blocks_8_attn_v_proj_lora_A,layer_norm_blocks_8_attn_v_proj_lora_B,layer_norm_blocks_9_attn_q_proj_lora_A,layer_norm_blocks_9_attn_q_proj_lora_B,layer_norm_blocks_9_attn_v_proj_lora_A,layer_norm_blocks_9_attn_v_proj_lora_B,layer_norm_blocks_10_attn_q_proj_lora_A,layer_norm_blocks_10_attn_q_proj_lora_B,layer_norm_blocks_10_attn_v_proj_lora_A,layer_norm_blocks_10_attn_v_proj_lora_B,layer_norm_blocks_11_attn_q_proj_lora_A,layer_norm_blocks_11_attn_q_proj_lora_B,layer_norm_blocks_11_attn_v_proj_lora_A,layer_norm_blocks_11_attn_v_proj_lora_B,layer_norm_head
dp_kfc,0.01,42,1,0.774911678295869,0.32789119489192964,0.9102,0.9102,0.0,0.72021484375,2.3316823563394795,195,195,49920,0.7190104126930237,0.35433799028396606,19.358240127563477,325.4776611328125,1104.4521484375,2828.572021484375,2.7988513875752687,120.27753087785095,123.07638226542622,1.621250441182021,415.0401129425974,2.7988513875752687,256,256,1,195,195,195,2015676416,38737920,0,True,"{'blocks.0.attn.q_proj.lora_A': 'bk_ghost', 'blocks.0.attn.q_proj.lora_B': 'bk_ghost', 'blocks.0.attn.v_proj.lora_A': 'bk_ghost', 'blocks.0.attn.v_proj.lora_B': 'bk_ghost', 'blocks.1.attn.q_proj.lora_A': 'bk_ghost', 'blocks.1.attn.q_proj.lora_B': 'bk_ghost', 'blocks.1.attn.v_proj.lora_A': 'bk_ghost', 'blocks.1.attn.v_proj.lora_B': 'bk_ghost', 'blocks.2.attn.q_proj.lora_A': 'bk_ghost', 'blocks.2.attn.q_proj.lora_B': 'bk_ghost', 'blocks.2.attn.v_proj.lora_A': 'bk_ghost', 'blocks.2.attn.v_proj.lora_B': 'bk_ghost', 'blocks.3.attn.q_proj.lora_A': 'bk_ghost', 'blocks.3.attn.q_proj.lora_B': 'bk_ghost', 'blocks.3.attn.v_proj.lora_A': 'bk_ghost', 'blocks.3.attn.v_proj.lora_B': 'bk_ghost', 'blocks.4.attn.q_proj.lora_A': 'bk_ghost', 'blocks.4.attn.q_proj.lora_B': 'bk_ghost', 'blocks.4.attn.v_proj.lora_A': 'bk_ghost', 'blocks.4.attn.v_proj.lora_B': 'bk_ghost', 'blocks.5.attn.q_proj.lora_A': 'bk_ghost', 'blocks.5.attn.q_proj.lora_B': 'bk_ghost', 'blocks.5.attn.v_proj.lora_A': 'bk_ghost', 'blocks.5.attn.v_proj.lora_B': 'bk_ghost', 'blocks.6.attn.q_proj.lora_A': 'bk_ghost', 'blocks.6.attn.q_proj.lora_B': 'bk_ghost', 'blocks.6.attn.v_proj.lora_A': 'bk_ghost', 'blocks.6.attn.v_proj.lora_B': 'bk_ghost', 'blocks.7.attn.q_proj.lora_A': 'bk_ghost', 'blocks.7.attn.q_proj.lora_B': 'bk_ghost', 'blocks.7.attn.v_proj.lora_A': 'bk_ghost', 'blocks.7.attn.v_proj.lora_B': 'bk_ghost', 'blocks.8.attn.q_proj.lora_A': 'bk_ghost', 'blocks.8.attn.q_proj.lora_B': 'bk_ghost', 'blocks.8.attn.v_proj.lora_A': 'bk_ghost', 'blocks.8.attn.v_proj.lora_B': 'bk_ghost', 'blocks.9.attn.q_proj.lora_A': 'bk_ghost', 'blocks.9.attn.q_proj.lora_B': 'bk_ghost', 'blocks.9.attn.v_proj.lora_A': 'bk_ghost', 'blocks.9.attn.v_proj.lora_B': 'bk_ghost', 'blocks.10.attn.q_proj.lora_A': 'bk_ghost', 'blocks.10.attn.q_proj.lora_B': 'bk_ghost', 'blocks.10.attn.v_proj.lora_A': 'bk_ghost', 'blocks.10.attn.v_proj.lora_B': 'bk_ghost', 'blocks.11.attn.q_proj.lora_A': 'bk_ghost', 'blocks.11.attn.q_proj.lora_B': 'bk_ghost', 'blocks.11.attn.v_proj.lora_A': 'bk_ghost', 'blocks.11.attn.v_proj.lora_B': 'bk_ghost', 'head': 'bk_ghost'}",True,5600074,75658,73728,1930,8.760456403269034,3.5142538928584686,6.303756418962792,7.0255413903437836,2.053049544941169,True,True,True,"['blocks.0.attn.q_proj.lora_A', 'blocks.0.attn.q_proj.lora_B', 'blocks.0.attn.v_proj.lora_A', 'blocks.0.attn.v_proj.lora_B', 'blocks.1.attn.q_proj.lora_A', 'blocks.1.attn.q_proj.lora_B', 'blocks.1.attn.v_proj.lora_A', 'blocks.1.attn.v_proj.lora_B', 'blocks.10.attn.q_proj.lora_A', 'blocks.10.attn.q_proj.lora_B', 'blocks.10.attn.v_proj.lora_A', 'blocks.10.attn.v_proj.lora_B', 'blocks.11.attn.q_proj.lora_A', 'blocks.11.attn.q_proj.lora_B', 'blocks.11.attn.v_proj.lora_A', 'blocks.11.attn.v_proj.lora_B', 'blocks.2.attn.q_proj.lora_A', 'blocks.2.attn.q_proj.lora_B', 'blocks.2.attn.v_proj.lora_A', 'blocks.2.attn.v_proj.lora_B', 'blocks.3.attn.q_proj.lora_A', 'blocks.3.attn.q_proj.lora_B', 'blocks.3.attn.v_proj.lora_A', 'blocks.3.attn.v_proj.lora_B', 'blocks.4.attn.q_proj.lora_A', 'blocks.4.attn.q_proj.lora_B', 'blocks.4.attn.v_proj.lora_A', 'blocks.4.attn.v_proj.lora_B', 'blocks.5.attn.q_proj.lora_A', 'blocks.5.attn.q_proj.lora_B', 'blocks.5.attn.v_proj.lora_A', 'blocks.5.attn.v_proj.lora_B', 'blocks.6.attn.q_proj.lora_A', 'blocks.6.attn.q_proj.lora_B', 'blocks.6.attn.v_proj.lora_A', 'blocks.6.attn.v_proj.lora_B', 'blocks.7.attn.q_proj.lora_A', 'blocks.7.attn.q_proj.lora_B', 'blocks.7.attn.v_proj.lora_A', 'blocks.7.attn.v_proj.lora_B', 'blocks.8.attn.q_proj.lora_A', 'blocks.8.attn.q_proj.lora_B', 'blocks.8.attn.v_proj.lora_A', 'blocks.8.attn.v_proj.lora_B', 'blocks.9.attn.q_proj.lora_A', 'blocks.9.attn.q_proj.lora_B', 'blocks.9.attn.v_proj.lora_A', 'blocks.9.attn.v_proj.lora_B']",['head'],5756032512,6658457600,10,10,10,2560,2560,7090176,31.653104782104492,250.23536682128906,1.6008501052856445,10.232893943786621,6.631597518920898,31.083362579345703,1.2056974172592163,6.548181056976318,18.115591049194336,45.004947662353516,2.597764253616333,9.700517654418945,36.086204528808594,116.7733383178711,2.7330708503723145,10.348072052001953,27.215538024902344,96.63320922851562,3.0397603511810303,12.584012985229492,22.19108009338379,90.359619140625,2.1878092288970947,9.536604881286621,15.481197357177734,48.404998779296875,2.9600906372070312,9.897846221923828,25.147939682006836,69.03013610839844,2.491807699203491,9.417150497436523,26.228769302368164,75.19940185546875,2.5009448528289795,8.615873336791992,34.295379638671875,68.11054229736328,2.1637628078460693,7.320911407470703,21.943572998046875,41.89094161987305,1.7557265758514404,7.767602443695068,20.129636764526367,30.934053421020508,1.864821434020996,7.100268363952637,15.749764442443848,22.51199722290039,31.653104782104492
dp_kfc,0.01,42,2,0.29298491325133885,0.29057249536514285,0.9281,0.9281,0.91915,0.72021484375,2.5430233194134213,390,195,49920,0.3529447019100189,0.702323853969574,0.12609945237636566,378.3792724609375,1659.17236328125,3845.893798828125,2.6125371428206563,120.55522957630455,123.16776671912521,1.6175158944604404,414.08406898187275,2.6125371428206563,256,256,1,195,195,195,2015676416,38737920,0,True,"{'blocks.0.attn.q_proj.lora_A': 'bk_ghost', 'blocks.0.attn.q_proj.lora_B': 'bk_ghost', 'blocks.0.attn.v_proj.lora_A': 'bk_ghost', 'blocks.0.attn.v_proj.lora_B': 'bk_ghost', 'blocks.1.attn.q_proj.lora_A': 'bk_ghost', 'blocks.1.attn.q_proj.lora_B': 'bk_ghost', 'blocks.1.attn.v_proj.lora_A': 'bk_ghost', 'blocks.1.attn.v_proj.lora_B': 'bk_ghost', 'blocks.2.attn.q_proj.lora_A': 'bk_ghost', 'blocks.2.attn.q_proj.lora_B': 'bk_ghost', 'blocks.2.attn.v_proj.lora_A': 'bk_ghost', 'blocks.2.attn.v_proj.lora_B': 'bk_ghost', 'blocks.3.attn.q_proj.lora_A': 'bk_ghost', 'blocks.3.attn.q_proj.lora_B': 'bk_ghost', 'blocks.3.attn.v_proj.lora_A': 'bk_ghost', 'blocks.3.attn.v_proj.lora_B': 'bk_ghost', 'blocks.4.attn.q_proj.lora_A': 'bk_ghost', 'blocks.4.attn.q_proj.lora_B': 'bk_ghost', 'blocks.4.attn.v_proj.lora_A': 'bk_ghost', 'blocks.4.attn.v_proj.lora_B': 'bk_ghost', 'blocks.5.attn.q_proj.lora_A': 'bk_ghost', 'blocks.5.attn.q_proj.lora_B': 'bk_ghost', 'blocks.5.attn.v_proj.lora_A': 'bk_ghost', 'blocks.5.attn.v_proj.lora_B': 'bk_ghost', 'blocks.6.attn.q_proj.lora_A': 'bk_ghost', 'blocks.6.attn.q_proj.lora_B': 'bk_ghost', 'blocks.6.attn.v_proj.lora_A': 'bk_ghost', 'blocks.6.attn.v_proj.lora_B': 'bk_ghost', 'blocks.7.attn.q_proj.lora_A': 'bk_ghost', 'blocks.7.attn.q_proj.lora_B': 'bk_ghost', 'blocks.7.attn.v_proj.lora_A': 'bk_ghost', 'blocks.7.attn.v_proj.lora_B': 'bk_ghost', 'blocks.8.attn.q_proj.lora_A': 'bk_ghost', 'blocks.8.attn.q_proj.lora_B': 'bk_ghost', 'blocks.8.attn.v_proj.lora_A': 'bk_ghost', 'blocks.8.attn.v_proj.lora_B': 'bk_ghost', 'blocks.9.attn.q_proj.lora_A': 'bk_ghost', 'blocks.9.attn.q_proj.lora_B': 'bk_ghost', 'blocks.9.attn.v_proj.lora_A': 'bk_ghost', 'blocks.9.attn.v_proj.lora_B': 'bk_ghost', 'blocks.10.attn.q_proj.lora_A': 'bk_ghost', 'blocks.10.attn.q_proj.lora_B': 'bk_ghost', 'blocks.10.attn.v_proj.lora_A': 'bk_ghost', 'blocks.10.attn.v_proj.lora_B': 'bk_ghost', 'blocks.11.attn.q_proj.lora_A': 'bk_ghost', 'blocks.11.attn.q_proj.lora_B': 'bk_ghost', 'blocks.11.attn.v_proj.lora_A': 'bk_ghost', 'blocks.11.attn.v_proj.lora_B': 'bk_ghost', 'head': 'bk_ghost'}",True,5600074,75658,73728,1930,9.247171247961608,4.572021266033912,6.859561317787128,7.704542366274112,2.1822195722399895,True,True,True,"['blocks.0.attn.q_proj.lora_A', 'blocks.0.attn.q_proj.lora_B', 'blocks.0.attn.v_proj.lora_A', 'blocks.0.attn.v_proj.lora_B', 'blocks.1.attn.q_proj.lora_A', 'blocks.1.attn.q_proj.lora_B', 'blocks.1.attn.v_proj.lora_A', 'blocks.1.attn.v_proj.lora_B', 'blocks.10.attn.q_proj.lora_A', 'blocks.10.attn.q_proj.lora_B', 'blocks.10.attn.v_proj.lora_A', 'blocks.10.attn.v_proj.lora_B', 'blocks.11.attn.q_proj.lora_A', 'blocks.11.attn.q_proj.lora_B', 'blocks.11.attn.v_proj.lora_A', 'blocks.11.attn.v_proj.lora_B', 'blocks.2.attn.q_proj.lora_A', 'blocks.2.attn.q_proj.lora_B', 'blocks.2.attn.v_proj.lora_A', 'blocks.2.attn.v_proj.lora_B', 'blocks.3.attn.q_proj.lora_A', 'blocks.3.attn.q_proj.lora_B', 'blocks.3.attn.v_proj.lora_A', 'blocks.3.attn.v_proj.lora_B', 'blocks.4.attn.q_proj.lora_A', 'blocks.4.attn.q_proj.lora_B', 'blocks.4.attn.v_proj.lora_A', 'blocks.4.attn.v_proj.lora_B', 'blocks.5.attn.q_proj.lora_A', 'blocks.5.attn.q_proj.lora_B', 'blocks.5.attn.v_proj.lora_A', 'blocks.5.attn.v_proj.lora_B', 'blocks.6.attn.q_proj.lora_A', 'blocks.6.attn.q_proj.lora_B', 'blocks.6.attn.v_proj.lora_A', 'blocks.6.attn.v_proj.lora_B', 'blocks.7.attn.q_proj.lora_A', 'blocks.7.attn.q_proj.lora_B', 'blocks.7.attn.v_proj.lora_A', 'blocks.7.attn.v_proj.lora_B', 'blocks.8.attn.q_proj.lora_A', 'blocks.8.attn.q_proj.lora_B', 'blocks.8.attn.v_proj.lora_A', 'blocks.8.attn.v_proj.lora_B', 'blocks.9.attn.q_proj.lora_A', 'blocks.9.attn.q_proj.lora_B', 'blocks.9.attn.v_proj.lora_A', 'blocks.9.attn.v_proj.lora_B']",['head'],5756032512,6664749056,10,10,10,2560,2560,7090176,19.89259147644043,370.0273742675781,2.82605242729187,12.34897518157959,12.930960655212402,36.7100944519043,2.302968740463257,7.21869421005249,30.660446166992188,58.9243049621582,5.581765174865723,11.25009822845459,58.14727020263672,156.70443725585938,4.955870628356934,11.84339714050293,43.11796188354492,138.15109252929688,5.973446846008301,13.77434253692627,39.61030197143555,138.05755615234375,4.057562351226807,11.056957244873047,28.90035057067871,69.76968383789062,5.180622577667236,11.883890151977539,47.11442184448242,103.77628326416016,4.794687747955322,10.198163986206055,51.48728561401367,124.14693450927734,4.461078643798828,9.265213966369629,62.072044372558594,100.63104248046875,4.260972023010254,7.823300838470459,41.9768180847168,59.78304672241211,2.881446361541748,7.712235927581787,31.598342895507812,39.57118225097656,2.628330707550049,5.572865962982178,25.612882614135742,26.456790924072266,19.89259147644043
dp_kfc,0.01,42,3,0.27796909900812,0.2757558457359672,0.9374,0.9374,1.8519,0.72021484375,2.710864462544613,585,195,49920,0.2761618494987488,0.764461100101471,0.025992421433329582,235.20008850097656,2012.5047607421875,3923.314697265625,2.6215665247291327,121.48128524422646,124.10285176895559,1.6051855197940261,410.9274930672707,2.6215665247291327,256,256,1,195,195,195,2015676416,38737920,0,True,"{'blocks.0.attn.q_proj.lora_A': 'bk_ghost', 'blocks.0.attn.q_proj.lora_B': 'bk_ghost', 'blocks.0.attn.v_proj.lora_A': 'bk_ghost', 'blocks.0.attn.v_proj.lora_B': 'bk_ghost', 'blocks.1.attn.q_proj.lora_A': 'bk_ghost', 'blocks.1.attn.q_proj.lora_B': 'bk_ghost', 'blocks.1.attn.v_proj.lora_A': 'bk_ghost', 'blocks.1.attn.v_proj.lora_B': 'bk_ghost', 'blocks.2.attn.q_proj.lora_A': 'bk_ghost', 'blocks.2.attn.q_proj.lora_B': 'bk_ghost', 'blocks.2.attn.v_proj.lora_A': 'bk_ghost', 'blocks.2.attn.v_proj.lora_B': 'bk_ghost', 'blocks.3.attn.q_proj.lora_A': 'bk_ghost', 'blocks.3.attn.q_proj.lora_B': 'bk_ghost', 'blocks.3.attn.v_proj.lora_A': 'bk_ghost', 'blocks.3.attn.v_proj.lora_B': 'bk_ghost', 'blocks.4.attn.q_proj.lora_A': 'bk_ghost', 'blocks.4.attn.q_proj.lora_B': 'bk_ghost', 'blocks.4.attn.v_proj.lora_A': 'bk_ghost', 'blocks.4.attn.v_proj.lora_B': 'bk_ghost', 'blocks.5.attn.q_proj.lora_A': 'bk_ghost', 'blocks.5.attn.q_proj.lora_B': 'bk_ghost', 'blocks.5.attn.v_proj.lora_A': 'bk_ghost', 'blocks.5.attn.v_proj.lora_B': 'bk_ghost', 'blocks.6.attn.q_proj.lora_A': 'bk_ghost', 'blocks.6.attn.q_proj.lora_B': 'bk_ghost', 'blocks.6.attn.v_proj.lora_A': 'bk_ghost', 'blocks.6.attn.v_proj.lora_B': 'bk_ghost', 'blocks.7.attn.q_proj.lora_A': 'bk_ghost', 'blocks.7.attn.q_proj.lora_B': 'bk_ghost', 'blocks.7.attn.v_proj.lora_A': 'bk_ghost', 'blocks.7.attn.v_proj.lora_B': 'bk_ghost', 'blocks.8.attn.q_proj.lora_A': 'bk_ghost', 'blocks.8.attn.q_proj.lora_B': 'bk_ghost', 'blocks.8.attn.v_proj.lora_A': 'bk_ghost', 'blocks.8.attn.v_proj.lora_B': 'bk_ghost', 'blocks.9.attn.q_proj.lora_A': 'bk_ghost', 'blocks.9.attn.q_proj.lora_B': 'bk_ghost', 'blocks.9.attn.v_proj.lora_A': 'bk_ghost', 'blocks.9.attn.v_proj.lora_B': 'bk_ghost', 'blocks.10.attn.q_proj.lora_A': 'bk_ghost', 'blocks.10.attn.q_proj.lora_B': 'bk_ghost', 'blocks.10.attn.v_proj.lora_A': 'bk_ghost', 'blocks.10.attn.v_proj.lora_B': 'bk_ghost', 'blocks.11.attn.q_proj.lora_A': 'bk_ghost', 'blocks.11.attn.q_proj.lora_B': 'bk_ghost', 'blocks.11.attn.v_proj.lora_A': 'bk_ghost', 'blocks.11.attn.v_proj.lora_B': 'bk_ghost', 'head': 'bk_ghost'}",True,5600074,75658,73728,1930,9.689503100586618,5.3795075655866125,7.358279346475829,8.287417996198123,2.2921972662188366,True,True,True,"['blocks.0.attn.q_proj.lora_A', 'blocks.0.attn.q_proj.lora_B', 'blocks.0.attn.v_proj.lora_A', 'blocks.0.attn.v_proj.lora_B', 'blocks.1.attn.q_proj.lora_A', 'blocks.1.attn.q_proj.lora_B', 'blocks.1.attn.v_proj.lora_A', 'blocks.1.attn.v_proj.lora_B', 'blocks.10.attn.q_proj.lora_A', 'blocks.10.attn.q_proj.lora_B', 'blocks.10.attn.v_proj.lora_A', 'blocks.10.attn.v_proj.lora_B', 'blocks.11.attn.q_proj.lora_A', 'blocks.11.attn.q_proj.lora_B', 'blocks.11.attn.v_proj.lora_A', 'blocks.11.attn.v_proj.lora_B', 'blocks.2.attn.q_proj.lora_A', 'blocks.2.attn.q_proj.lora_B', 'blocks.2.attn.v_proj.lora_A', 'blocks.2.attn.v_proj.lora_B', 'blocks.3.attn.q_proj.lora_A', 'blocks.3.attn.q_proj.lora_B', 'blocks.3.attn.v_proj.lora_A', 'blocks.3.attn.v_proj.lora_B', 'blocks.4.attn.q_proj.lora_A', 'blocks.4.attn.q_proj.lora_B', 'blocks.4.attn.v_proj.lora_A', 'blocks.4.attn.v_proj.lora_B', 'blocks.5.attn.q_proj.lora_A', 'blocks.5.attn.q_proj.lora_B', 'blocks.5.attn.v_proj.lora_A', 'blocks.5.attn.v_proj.lora_B', 'blocks.6.attn.q_proj.lora_A', 'blocks.6.attn.q_proj.lora_B', 'blocks.6.attn.v_proj.lora_A', 'blocks.6.attn.v_proj.lora_B', 'blocks.7.attn.q_proj.lora_A', 'blocks.7.attn.q_proj.lora_B', 'blocks.7.attn.v_proj.lora_A', 'blocks.7.attn.v_proj.lora_B', 'blocks.8.attn.q_proj.lora_A', 'blocks.8.attn.q_proj.lora_B', 'blocks.8.attn.v_proj.lora_A', 'blocks.8.attn.v_proj.lora_B', 'blocks.9.attn.q_proj.lora_A', 'blocks.9.attn.q_proj.lora_B', 'blocks.9.attn.v_proj.lora_A', 'blocks.9.attn.v_proj.lora_B']",['head'],5756032512,6664749056,10,10,10,2560,2560,7090176,18.79509925842285,430.2459716796875,4.150787353515625,14.601489067077637,18.424287796020508,44.527469635009766,3.408850908279419,7.987638473510742,38.18101119995117,63.658477783203125,7.873456954956055,12.680832862854004,69.9973373413086,176.2853546142578,6.845754623413086,12.539543151855469,53.71288299560547,148.8789520263672,8.055586814880371,15.044875144958496,51.400699615478516,163.7996826171875,5.588742733001709,13.024347305297852,38.36507034301758,80.88636779785156,7.387497425079346,13.750452995300293,62.36362075805664,118.2537612915039,6.658792972564697,12.156865119934082,64.41886901855469,142.9759063720703,6.12051248550415,10.247502326965332,81.45108032226562,119.80604553222656,5.636854648590088,8.91137409210205,55.25278091430664,68.55133056640625,4.173066139221191,8.845739364624023,38.57735061645508,47.90038299560547,3.4641668796539307,6.304558277130127,29.849172592163086,28.73818588256836,18.79509925842285
