estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFLR,-1,conv1,488.10237754158925,1.2568279985910313,10,10,16,16,1e-07
KFLR,-1,conv2,435368395501.9489,5.844722651236757,145,145,21,32,1e-07
KFLR,-1,fc1,100000000000000.0,6.463858547439517,436,1569,101,128,1e-07
KFLR,-1,fc2,2096779176414.147,5.585962888544854,101,129,10,10,1e-07
KFAC-M-3,1,conv1,491.9996864904779,1.257988251868953,10,10,16,16,1e-07
KFAC-M-3,1,conv2,435368395501.9489,5.842986912536117,145,145,21,32,1e-07
KFAC-M-3,1,fc1,100000000000000.0,6.467507786369756,436,1569,101,128,1e-07
KFAC-M-3,1,fc2,1986725960777.0125,5.586236247541521,101,129,10,10,1e-07
KFAC-M-3,0,conv1,490.14085169515954,1.257327475254569,10,10,16,16,1e-07
KFAC-M-3,0,conv2,435368395501.9489,5.843828669807429,145,145,21,32,1e-07
KFAC-M-3,0,fc1,100000000000000.02,6.462858759291921,436,1569,101,128,1e-07
KFAC-M-3,0,fc2,2189670165488.2893,5.586897979253282,101,129,10,10,1e-07
KFAC-U-3,0,conv1,328.37375844115604,1.1924948610286137,10,10,16,16,1e-07
KFAC-U-3,0,conv2,435368395501.9489,5.92377574067653,145,145,21,32,1e-07
KFAC-U-3,0,fc1,100000000000000.0,6.367816394337354,436,1569,101,128,1e-07
KFAC-U-3,0,fc2,1172570549705.9832,5.463430910402345,101,129,10,10,1e-07
KFAC-U-9,2,conv1,328.1152443074056,1.1928455514453746,10,10,16,16,1e-07
KFAC-U-9,2,conv2,435368395501.9489,5.9220473986214355,145,145,21,32,1e-07
KFAC-U-9,2,fc1,100000000000000.0,6.366160951186279,436,1569,101,128,1e-07
KFAC-U-9,2,fc2,1130469684299.1265,5.461565193718931,101,129,10,10,1e-07
KFAC-U-3,1,conv1,331.5170623807806,1.1944802668151167,10,10,16,16,1e-07
KFAC-U-3,1,conv2,435368395501.9489,5.922016522335225,145,145,21,32,1e-07
KFAC-U-3,1,fc1,100000000000000.02,6.375108571765892,436,1569,101,128,1e-07
KFAC-U-3,1,fc2,1107740670616.6292,5.462147380569121,101,129,10,10,1e-07
KFAC-M-3,2,conv1,491.74869582368257,1.2580748775607822,10,10,16,16,1e-07
KFAC-M-3,2,conv2,435368395501.9489,5.841991605194818,145,145,21,32,1e-07
KFAC-M-3,2,fc1,100000000000000.0,6.465192430570369,436,1569,101,128,1e-07
KFAC-M-3,2,fc2,1983620776965.0605,5.584529953649077,101,129,10,10,1e-07
KFAC-M-9,1,conv1,487.91785809717487,1.2567763243570107,10,10,16,16,1e-07
KFAC-M-9,1,conv2,435368395501.9489,5.844568878285837,145,145,21,32,1e-07
KFAC-M-9,1,fc1,100000000000000.0,6.458970763803732,436,1569,101,128,1e-07
KFAC-M-9,1,fc2,2093059949049.4382,5.585518182846349,101,129,10,10,1e-07
KFAC-U-3,2,conv1,327.51191350996436,1.1923599535184195,10,10,16,16,1e-07
KFAC-U-3,2,conv2,435368395501.9489,5.9224736355100145,145,145,21,32,1e-07
KFAC-U-3,2,fc1,100000000000000.0,6.355365893392371,436,1569,101,128,1e-07
KFAC-U-3,2,fc2,1114165910278.3362,5.460459262568021,101,129,10,10,1e-07
KFAC-M-1,2,conv1,490.81877974416926,1.2577728531181627,10,10,16,16,1e-07
KFAC-M-1,2,conv2,435368395501.9489,5.845372491056354,145,145,21,32,1e-07
KFAC-M-1,2,fc1,100000000000000.0,6.46551694892211,436,1569,101,128,1e-07
KFAC-M-1,2,fc2,2021209849586.1074,5.583826959946894,101,129,10,10,1e-07
KFAC-M-9,0,conv1,490.2489382640136,1.2575176975894458,10,10,16,16,1e-07
KFAC-M-9,0,conv2,435368395501.9489,5.843869047328215,145,145,21,32,1e-07
KFAC-M-9,0,fc1,100000000000000.0,6.46501808639438,436,1569,101,128,1e-07
KFAC-M-9,0,fc2,2102081328069.5107,5.58684950833313,101,129,10,10,1e-07
KFAC-M-1,0,conv1,483.0609280288924,1.2552138631704837,10,10,16,16,1e-07
KFAC-M-1,0,conv2,435368395501.9489,5.84777319243652,145,145,21,32,1e-07
KFAC-M-1,0,fc1,100000000000000.0,6.467608306654427,436,1569,101,128,1e-07
KFAC-M-1,0,fc2,2047774028728.4338,5.581096414518318,101,129,10,10,1e-07
KFAC-U-1,0,conv1,326.91226456817617,1.192084432482016,10,10,16,16,1e-07
KFAC-U-1,0,conv2,435368395501.9489,5.924044625409762,145,145,21,32,1e-07
KFAC-U-1,0,fc1,100000000000000.0,6.375052039793116,436,1569,101,128,1e-07
KFAC-U-1,0,fc2,1183818555091.2058,5.462234137955891,101,129,10,10,1e-07
KFAC-M-1,1,conv1,492.7383225733223,1.2583972730122837,10,10,16,16,1e-07
KFAC-M-1,1,conv2,435368395501.9489,5.8422093281539755,145,145,21,32,1e-07
KFAC-M-1,1,fc1,100000000000000.0,6.474927544416614,436,1569,101,128,1e-07
KFAC-M-1,1,fc2,2008381618109.4263,5.586849183101571,101,129,10,10,1e-07
KFAC-U-1,1,conv1,329.8148132367949,1.1934460190465053,10,10,16,16,1e-07
KFAC-U-1,1,conv2,435368395501.9489,5.9213507762417,145,145,21,32,1e-07
KFAC-U-1,1,fc1,100000000000000.0,6.3939430647697355,436,1569,101,128,1e-07
KFAC-U-1,1,fc2,1108045725746.7158,5.461840627220605,101,129,10,10,1e-07
KFAC-M-9,2,conv1,488.0361835099602,1.2569232336895537,10,10,16,16,1e-07
KFAC-M-9,2,conv2,435368395501.9489,5.844377838014909,145,145,21,32,1e-07
KFAC-M-9,2,fc1,100000000000000.02,6.46149470014524,436,1569,101,128,1e-07
KFAC-M-9,2,fc2,2022890048536.905,5.58255426636834,101,129,10,10,1e-07
KFAC-U-9,0,conv1,329.34440214945346,1.1933169164504707,10,10,16,16,1e-07
KFAC-U-9,0,conv2,435368395501.9489,5.922048004942106,145,145,21,32,1e-07
KFAC-U-9,0,fc1,100000000000000.0,6.369827966186688,436,1569,101,128,1e-07
KFAC-U-9,0,fc2,1160674692542.4988,5.463807319151156,101,129,10,10,1e-07
KFAC-U-9,1,conv1,328.0264078028015,1.192575110987173,10,10,16,16,1e-07
KFAC-U-9,1,conv2,435368395501.9489,5.922595822743562,145,145,21,32,1e-07
KFAC-U-9,1,fc1,100000000000000.0,6.3666732776960355,436,1569,101,128,1e-07
KFAC-U-9,1,fc2,1142717397292.213,5.4627477894705505,101,129,10,10,1e-07
KFRA-block,-1,conv1,469.3865137682863,1.2593361100109048,10,10,16,16,1e-07
KFRA-block,-1,conv2,435368395501.949,5.82135378103867,145,145,21,32,1e-07
KFRA-block,-1,fc1,100000000000000.02,6.421859144849129,436,1569,101,128,1e-07
KFRA-block,-1,fc2,2096779001218.0918,5.585962874917877,101,129,10,10,1e-07
KFAC-U-1,2,conv1,326.2709692179607,1.1919578377347206,10,10,16,16,1e-07
KFAC-U-1,2,conv2,435368395501.9489,5.925117588205202,145,145,21,32,1e-07
KFAC-U-1,2,fc1,100000000000000.02,6.375326276765955,436,1569,101,128,1e-07
KFAC-U-1,2,fc2,1165832938294.575,5.461458124980654,101,129,10,10,1e-07
