method,seed,final_accuracy,best_accuracy,accuracy_auc,algorithm_seconds,private_seconds,build_seconds,curvature_seconds,peak_allocated_bytes,peak_reserved_bytes,train_peak_bytes,clip_fraction,norm_p99
M0_original,42,0.9491,0.9509,3.7433000000000005,38.914049265906215,38.06981401052326,0.844235255382955,0.022831968039273797,851975680,1293942784,851975680,0.3224859803915024,11395.55908203125
M1_full_ghost,42,0.9491,0.951,3.7434000000000003,44.508878560736775,43.660738670267165,0.8481398904696105,0.0227715840339659,167334912,260046848,139314176,0.3224759638309479,11395.663671875
M2_a_ghost_p05,42,0.9599,0.9599,3.7862999999999998,44.224436460994184,43.44043346866965,0.7840029923245309,0.0,168558592,245366784,168558592,0.2831831008195877,729.1895568847656
M3_a_ghost_p025,42,0.9587,0.9587,3.7702,42.81026478856802,42.043476964347064,0.7667878242209553,0.0,168558592,245366784,168558592,0.2665731877088547,618.445947265625
M0_original,7,0.9509,0.9509,3.7600499999999997,38.67966944538057,37.840711305849254,0.8389581395313142,0.0180303039848802,851975680,1293942784,851975680,0.2987112671136856,12592.073046875
M1_full_ghost,7,0.9509,0.9509,3.7601500000000003,42.82349620386958,41.97231672331691,0.8511794805526731,0.0228672001063821,167334912,260046848,139314176,0.29874799251556394,12592.23466796875
M2_a_ghost_p05,7,0.9624,0.9624,3.8023,43.70591142401099,42.924275699071586,0.7816357249394058,0.0,168558592,245366784,168558592,0.2590177536010742,752.079931640625
M3_a_ghost_p025,7,0.9626,0.9626,3.78985,44.12681841850281,43.344242862425745,0.782575556077063,0.0,168558592,245366784,168558592,0.24477163702249521,624.9268981933594
M0_original,123,0.9497,0.9497,3.7500999999999998,38.74596136063337,37.89324971754104,0.8527116430923342,0.0228432001173495,851975680,1293942784,851975680,0.3038928955793381,11850.06357421875
M1_full_ghost,123,0.9497,0.9497,3.7501999999999995,42.30249361041933,41.47804041299969,0.8244531974196433,0.0176302720606326,167334912,260046848,139314176,0.303886216878891,11854.3837890625
M2_a_ghost_p05,123,0.9603,0.9603,3.7901,44.456990929320455,43.67075570579618,0.7862352235242721,0.0,168558592,245366784,168558592,0.2701121747493744,770.45166015625
M3_a_ghost_p025,123,0.9608,0.9608,3.78955,43.82041466142982,43.03817483317107,0.7822398282587526,0.0,168558592,245366784,168558592,0.24636751860380174,627.0004272460938
M0_original,2024,0.9478,0.948,3.7663,41.47818535286933,40.62456409167498,0.8536212611943481,0.024110432088374798,851975680,1293942784,851975680,0.2979934513568878,9905.046728515625
M1_full_ghost,2024,0.9477,0.9479,3.7662,46.17907931469381,45.30739804171026,0.871681272983551,0.0296143361032006,167334912,260046848,139314176,0.29799345433712005,9905.160546875
M2_a_ghost_p05,2024,0.9631,0.9631,3.80455,44.08565953280777,43.291004051454365,0.794655481353402,0.0,168558592,245366784,168558592,0.26725427359342574,701.69033203125
M3_a_ghost_p025,2024,0.9628,0.9628,3.7833,46.145686969161034,45.352020887658,0.7936660815030334,0.0,168558592,245366784,168558592,0.2545673042535782,630.7067443847657
M0_original,3407,0.9481,0.9481,3.7357,37.21719701681286,36.39088540896773,0.8263116078451274,0.0178248640596865,851975680,1293942784,851975680,0.31833600997924805,12573.6501953125
M1_full_ghost,3407,0.9479,0.9479,3.7359,46.494673552922904,45.66528298892081,0.8293905640020964,0.0180597119033334,167334912,260046848,139314176,0.31830261647701263,12572.29921875
M2_a_ghost_p05,3407,0.9583,0.9583,3.7834499999999993,45.563334501348436,44.75758022814989,0.8057542731985448,0.0,168558592,245366784,168558592,0.2775540918111801,771.36142578125
M3_a_ghost_p025,3407,0.9577,0.9577,3.76865,43.52093006297946,42.75556259229779,0.7653674706816672,0.0,168558592,245366784,168558592,0.25914796888828273,641.0614379882812
