comparison,metric,mean,sample_std,ci95_low,ci95_high,n,paired_accuracy_delta
M1_full_ghost - M0_original,final_accuracy,-6.0000000000015594e-05,8.944271910002517e-05,-0.0001400000000000512,0.0,5,"{""7"": 0.0, ""42"": 0.0, ""123"": 0.0, ""2024"": -9.999999999998899e-05, ""3407"": -0.000200000000000089}"
M1_full_ghost - M0_original,best_accuracy,-4.00000000000178e-05,0.0001140175425099402,-0.000140000000000029,3.999999999999559e-05,5,
M1_full_ghost - M0_original,accuracy_auc,7.999999999999118e-05,0.00010954451150112251,-2.0000000000042208e-05,0.00015999999999989357,5,
M1_full_ghost - M0_original,algorithm_seconds,5.454711760208011,2.2651109062286405,4.020322395674884,7.446843506395817,5,
M1_full_ghost - M0_original,private_seconds,5.452910460531712,2.2611693893088307,4.023125235177576,7.437772127985954,5,
M1_full_ghost - M0_original,build_seconds,0.0018012996762991173,0.017906477163167966,-0.013895007967948913,0.013389075174927757,5,
M1_full_ghost - M0_original,curvature_seconds,0.0010604671835899603,0.004338749500706639,-0.00217245441079134,0.004257644832134281,5,
M1_full_ghost - M0_original,peak_allocated_bytes,-684640768.0,0.0,-684640768.0,-684640768.0,5,
M1_full_ghost - M0_original,peak_reserved_bytes,-1033895936.0,0.0,-1033895936.0,-1033895936.0,5,
M1_full_ghost - M0_original,train_peak_bytes,-712661504.0,0.0,-712661504.0,-712661504.0,5,
M1_full_ghost - M0_original,clip_fraction,-2.6720762252852026e-06,2.5362953849007502e-05,-2.137124538421631e-05,1.9363760948165608e-05,5,
M1_full_ghost - M0_original,norm_p99,0.6698535156250728,2.138684779186816,-0.7554980468750727,2.6376562500005094,5,
M2_a_ghost_p05 - M1_full_ghost,final_accuracy,0.011740000000000018,0.0020875823337056414,0.010560000000000036,0.01362000000000001,5,"{""7"": 0.011500000000000066, ""42"": 0.01079999999999992, ""123"": 0.010600000000000054, ""2024"": 0.01539999999999997, ""3407"": 0.010400000000000076}"
M2_a_ghost_p05 - M1_full_ghost,best_accuracy,0.011320000000000042,0.002361567276196025,0.009760000000000036,0.013360000000000016,5,
M2_a_ghost_p05 - M1_full_ghost,accuracy_auc,0.04216999999999969,0.0035079552448681406,0.03956999999999988,0.04508999999999954,5,
M2_a_ghost_p05 - M1_full_ghost,algorithm_seconds,-0.05445767883211374,1.6383217971643904,-1.266791953332722,1.2829136250540614,5,
M2_a_ghost_p05 - M1_full_ghost,private_seconds,5.4463185369968416e-05,1.6319106623567399,-1.2136997407302261,1.3244804186746477,5,
M2_a_ghost_p05 - M1_full_ghost,build_seconds,-0.05451214201748376,0.0226067902391463,-0.07145519852638245,-0.0357341203838587,5,
M2_a_ghost_p05 - M1_full_ghost,curvature_seconds,-0.02218862084150292,0.004841693806873234,-0.025953984063863456,-0.018763545638322658,5,
M2_a_ghost_p05 - M1_full_ghost,peak_allocated_bytes,1223680.0,0.0,1223680.0,1223680.0,5,
M2_a_ghost_p05 - M1_full_ghost,peak_reserved_bytes,-14680064.0,0.0,-14680064.0,-14680064.0,5,
M2_a_ghost_p05 - M1_full_ghost,train_peak_bytes,29244416.0,0.0,29244416.0,29244416.0,5,
M2_a_ghost_p05 - M1_full_ghost,clip_fraction,-0.036856969892978673,0.0043664984934756864,-0.040050078034400936,-0.033144364655017855,5,
M2_a_ghost_p05 - M1_full_ghost,norm_p99,-10918.993797607423,1079.3927334661078,-11673.2234375,-10015.564510498047,5,
M3_a_ghost_p025 - M2_a_ghost_p05,final_accuracy,-0.0002800000000000136,0.0006685805860178489,-0.0008000000000000007,0.00021999999999997578,5,"{""7"": 0.00019999999999997797, ""42"": -0.0011999999999999789, ""123"": 0.0004999999999999449, ""2024"": -0.00029999999999996696, ""3407"": -0.0006000000000000449}"
M3_a_ghost_p025 - M2_a_ghost_p05,best_accuracy,-0.0002800000000000136,0.0006685805860178489,-0.0008000000000000007,0.00021999999999997578,5,
M3_a_ghost_p025 - M2_a_ghost_p05,accuracy_auc,-0.013029999999999653,0.007684611245860168,-0.01819999999999968,-0.00603999999999969,5,
M3_a_ghost_p025 - M2_a_ghost_p05,algorithm_seconds,-0.3224435895681381,1.6184524358222492,-1.5099456978961825,1.03736352622509,5,
M3_a_ghost_p025 - M2_a_ghost_p05,private_seconds,-0.3101142026484013,1.6049166157181245,-1.4861058305948973,1.0412122335284948,5,
M3_a_ghost_p025 - M2_a_ghost_p05,build_seconds,-0.012329386919736817,0.01721345621343736,-0.02748714890331021,-0.0008189065381884797,5,
M3_a_ghost_p025 - M2_a_ghost_p05,curvature_seconds,0.0,0.0,0.0,0.0,5,
M3_a_ghost_p025 - M2_a_ghost_p05,peak_allocated_bytes,0.0,0.0,0.0,0.0,5,
M3_a_ghost_p025 - M2_a_ghost_p05,peak_reserved_bytes,0.0,0.0,0.0,0.0,5,
M3_a_ghost_p025 - M2_a_ghost_p05,train_peak_bytes,0.0,0.0,0.0,0.0,5,
M3_a_ghost_p025 - M2_a_ghost_p05,clip_fraction,-0.017138755619525915,0.004292714110616059,-0.020777241587638863,-0.014095216989517212,5,
M3_a_ghost_p025 - M2_a_ghost_p05,norm_p99,-116.5262902832031,27.996303809383942,-134.9310949707031,-93.42912109374997,5,
M3_a_ghost_p025 - M0_original,final_accuracy,0.011399999999999988,0.0022147234590350405,0.009899999999999954,0.013260000000000004,5,"{""7"": 0.011700000000000044, ""42"": 0.009599999999999942, ""123"": 0.011099999999999999, ""2024"": 0.015000000000000013, ""3407"": 0.009599999999999942}"
M3_a_ghost_p025 - M0_original,best_accuracy,0.01100000000000001,0.0026048032555262357,0.009120000000000017,0.013140000000000018,5,
M3_a_ghost_p025 - M0_original,accuracy_auc,0.029220000000000024,0.008270625732071518,0.022169999999999846,0.035590000000000364,5,
M3_a_ghost_p025 - M0_original,algorithm_seconds,5.0778104918077585,0.8949620576084713,4.367510633915662,5.8051699455827475,5,
M3_a_ghost_p025 - M0_original,private_seconds,5.1428507210686805,0.8891719490867186,4.442167818546295,5.865003980509937,5,
M3_a_ghost_p025 - M0_original,build_seconds,-0.06504022926092146,0.008675126963872739,-0.07255385760217907,-0.05872393269091838,5,
M3_a_ghost_p025 - M0_original,curvature_seconds,-0.021128153657912957,0.0029684485513234034,-0.02334784649014448,-0.01890846082568144,5,
M3_a_ghost_p025 - M0_original,peak_allocated_bytes,-683417088.0,0.0,-683417088.0,-683417088.0,5,
M3_a_ghost_p025 - M0_original,peak_reserved_bytes,-1048576000.0,0.0,-1048576000.0,-1048576000.0,5,
M3_a_ghost_p025 - M0_original,train_peak_bytes,-683417088.0,0.0,-683417088.0,-683417088.0,5,
M3_a_ghost_p025 - M0_original,clip_fraction,-0.053998397588729874,0.006221190115164962,-0.0578679257631302,-0.04842080533504485,5,
M3_a_ghost_p025 - M0_original,norm_p99,-11034.850234375,1104.123971936365,-11804.506591796877,-10106.544368896484,5,
