method,seed,epoch,curvature_backward_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count
M0_original,42,1,0.0085367360711097,10,10,2560,2560,10069164,2517291
M0_original,42,2,0.0036006080210208,10,10,2560,2560,10069164,2517291
M0_original,42,3,0.0035225599706172,10,10,2560,2560,10069164,2517291
M0_original,42,4,0.0035706879794597,10,10,2560,2560,10069164,2517291
M0_original,42,5,0.0036013759970664,10,10,2560,2560,10069164,2517291
M1_full_ghost,42,1,0.0085237439870834,10,10,2560,2560,10069164,2517291
M1_full_ghost,42,2,0.0036055040359497,10,10,2560,2560,10069164,2517291
M1_full_ghost,42,3,0.0035624639987945,10,10,2560,2560,10069164,2517291
M1_full_ghost,42,4,0.0035642560124397,10,10,2560,2560,10069164,2517291
M1_full_ghost,42,5,0.0035156159996986,10,10,2560,2560,10069164,2517291
M2_a_ghost_p05,42,1,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,42,2,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,42,3,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,42,4,0.0,10,0,0,2560,9998116,2499528
M2_a_ghost_p05,42,5,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,42,1,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,42,2,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,42,3,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,42,4,0.0,10,0,0,2560,9998116,2499528
M3_a_ghost_p025,42,5,0.0,10,0,0,2560,9998116,2499528
M0_original,7,1,0.0035545279681682,10,10,2560,2560,10069164,2517291
M0_original,7,2,0.0035932160317897,10,10,2560,2560,10069164,2517291
M0_original,7,3,0.003632384032011,10,10,2560,2560,10069164,2517291
M0_original,7,4,0.00359423995018,10,10,2560,2560,10069164,2517291
M0_original,7,5,0.0036559360027313,10,10,2560,2560,10069164,2517291
M1_full_ghost,7,1,0.0086945600509643,10,10,2560,2560,10069164,2517291
M1_full_ghost,7,2,0.0035915519893169,10,10,2560,2560,10069164,2517291
