method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon,accountant_steps,noise_multiplier,clip_fraction,mean_clip_factor,mean_clipping_severity,mean_transformed_norm,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,samples,batches,algorithm_epoch_seconds,wall_epoch_seconds,private_samples_per_second,seconds_per_batch,exact_forward_backward_seconds,per_sample_precondition_clip_seconds,ghost_first_pass_seconds,ghost_second_pass_seconds,aggregate_transform_seconds,noise_step_seconds,activation_forward_seconds,curvature_backward_seconds,factor_accumulation_seconds,matrix_function_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count,preconditioner_build_seconds,synthetic_generation_seconds,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,private_train_seconds,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,diagnostic_postprocess_seconds,evaluation_seconds,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes,m_raw,m_reference,scale_match
M0_original,42,1,0.8556900676499065,0.5280894683837891,0.8983,0.7861127240333559,234,1.068115234375,0.7867922186851501,0.2466904670000076,0.7533096075057983,3714.293212890625,663.5752563476562,11613.828125,37465.77734375,61009.71484375,59904,234,8.073365977033973,9.217893010005357,7595.23482913997,0.0337053436475495,0.8543691546916962,2.4319911127090474,0.0,0.0,0.0,0.0217249280810357,0.0060743999481201,0.0085367360711097,0.0404346877411007,0.1243371505737304,10,10,2560,2560,10069164,2517291,0.1863155635073781,0.005715968132019,9349120,1287651328,167334912,1293942784,157985792,211888128,7.887050413526595,19419648,1293942784,851975680,1293942784,832556032,0.0257214149460196,1.10523534193635,851975680,1293942784,,,
M0_original,42,2,0.5598762707832532,0.4985265608116984,0.9284,0.8385078418579571,468,1.068115234375,0.278679221868515,0.7519626617431641,0.2480373233556747,388.26123046875,0.0030869478359818,1209.40185546875,5757.44580078125,8740.4130859375,59904,234,7.708218300715089,8.84993461240083,7939.426759814964,0.0322441415160767,0.8365271687507628,2.4375462112426747,0.0,0.0,0.0,0.0150519358813763,0.0026982399523258,0.0036006080210208,0.0294226874634623,0.1237514266967773,10,10,2560,2560,10069164,2517291,0.1630891859531402,0.0034337599277496,9349120,1293942784,167334912,1293942784,157985792,211888128,7.545129114761949,19419648,1293942784,851975680,1293942784,832556032,0.0254716854542493,1.1033572675660253,851975680,1293942784,,,
M0_original,42,3,0.5189283974150307,0.4553715234398842,0.9403,0.8909029596825585,702,1.068115234375,0.2009214758872985,0.8197199106216431,0.1802801489830017,290.622802734375,5.444032285595313e-05,265.2603454589844,4894.21630859375,7636.3935546875,59904,234,7.705051209777594,8.85088911280036,7943.756743817437,0.0322265658750493,0.8380521266460418,2.4391804494857805,0.0,0.0,0.0,0.0150935038924217,0.0026857279837131,0.0035225599706172,0.0296248008534312,0.1246464004516601,10,10,2560,2560,10069164,2517291,0.1640347950160503,0.0033831360340118,9349120,1293942784,167334912,1293942784,157985792,211888128,7.541016414761543,19419648,1293942784,851975680,1293942784,832556032,0.0254940437152981,1.1075445776805282,851975680,1293942784,,,
M0_original,42,4,0.4528495592948718,0.3654879649370443,0.9509,0.9432980775071595,936,1.068115234375,0.1789029091596603,0.8408006429672241,0.1591993272304535,241.96389770507807,1.972849349840544e-05,100.520751953125,4345.18212890625,6783.9482421875,59904,234,7.712458378635347,8.85662922821939,7936.198021189152,0.0322572596243813,0.8382094421386717,2.4423404378891,0.0,0.0,0.0,0.0150562878847122,0.0026818559467792,0.0035706879794597,0.0296326407715678,0.1247682571411132,10,10,2560,2560,10069164,2517291,0.1642596265301108,0.0033898239135742,9349120,1293942784,167334912,1293942784,157985792,211888128,7.548198752105236,19419648,1293942784,851975680,1293942784,832556032,0.0273244967684149,1.1034305486828089,851975680,1293942784,,,
M0_original,42,5,0.4165219364003238,0.3841816366039216,0.9491,0.995693195331761,1170,1.068115234375,0.1671340763568878,0.8519949913024902,0.1480050086975097,236.5132751464844,1.1895010175067e-05,59.06553649902344,4515.173828125,6749.95361328125,59904,234,7.714955399744213,8.840294647030532,7935.966127112278,0.032258202202427,0.8379204790592192,2.4476784744262683,0.0,0.0,0.0,0.0152547199502588,0.0027115520238876,0.0036013759970664,0.0300574714466929,0.1265786895751953,10,10,2560,2560,10069164,2517291,0.1665360843762755,0.0034058239459991,9349120,1293942784,167334912,1293942784,157985792,211888128,7.548419315367937,19419648,1293942784,851975680,1293942784,832556032,0.0255750445649027,1.0868765618652103,851975680,1293942784,,,
M1_full_ghost,42,1,0.8556898720244057,0.5280816936016083,0.8983,0.7861127240333559,234,1.068115234375,0.7867922186851501,0.2466903775930404,0.7533096075057983,3714.291748046875,663.5759887695312,11613.9326171875,37465.9296875,61009.359375,59904,234,9.406219388358297,10.551329125650229,6498.17928857468,0.0393956504786052,0.0,0.0,3.8433126697540296,0.3052372508049016,0.0262892481461167,0.0254823355302215,0.0059749440550804,0.0085237439870834,0.0409395843297243,0.1254451217651367,10,10,2560,2560,10069164,2517291,0.1876371763646602,0.005555200099945,9349120,255852544,167334912,260046848,157985792,0,9.218582211993636,19419648,260046848,139314176,260046848,119894528,0.0257339179515838,1.1049556033685803,167334912,260046848,,,
M1_full_ghost,42,2,0.5598855955987914,0.4985528158433735,0.9284,0.8385078418579571,468,1.068115234375,0.2786625325679779,0.7519643306732178,0.248035654425621,388.2411193847656,0.0030843913555145,1210.611083984375,5756.259765625,8737.9169921875,59904,234,8.785086393356323,9.928484636358917,6949.496837061625,0.0368371992968978,0.0,0.0,3.8150771694183367,0.3049345960617066,0.0264048642218113,0.0151303038746119,0.0027178240716457,0.0036055040359497,0.0299653124138712,0.1252925415039062,10,10,2560,2560,10069164,2517291,0.1651817578822374,0.0034277439117431,9349120,260046848,167334912,260046848,157985792,0,8.619904635474086,19419648,260046848,139314176,260046848,119894528,0.0253015933558344,1.1044056033715606,167334912,260046848,,,
M1_full_ghost,42,3,0.5189575456146501,0.4554038192451,0.9403,0.8909029596825585,702,1.068115234375,0.2009548544883728,0.819725513458252,0.1802744716405868,290.6543884277344,5.441198300104588e-05,265.2803649902344,4893.7666015625,7636.603515625,59904,234,8.786651225760579,9.92553398013115,6948.007994419303,0.0368450928964994,0.0,0.0,3.8157454891204807,0.3049921637773517,0.0263731202110648,0.0151244159042835,0.0026972160637378,0.0035624639987945,0.0299591683670878,0.1250703353881836,10,10,2560,2560,10069164,2517291,0.1648994879797101,0.0034429440498352,9349120,260046848,167334912,260046848,157985792,0,8.621751737780869,19419648,260046848,139314176,260046848,119894528,0.0256312452256679,1.099495123140514,167334912,260046848,,,
M1_full_ghost,42,4,0.4528737190442207,0.3655246770748402,0.951,0.9432980775071595,936,1.068115234375,0.1788361370563507,0.8408066034317017,0.1591933816671371,241.97650146484372,1.974177939700894e-05,100.43463897705078,4346.5556640625,6784.193359375,59904,234,8.774629034101963,9.914215026423337,6957.906668014743,0.0367926751844521,0.0,0.0,3.815472795486448,0.304748899817467,0.0262912001833319,0.0151703039035201,0.0026937920451164,0.0035642560124397,0.029960192143917,0.1253160934448242,10,10,2560,2560,10069164,2517291,0.1651430409401655,0.0034254078865051,9349120,260046848,167334912,260046848,157985792,0,8.609485993161798,19419648,260046848,139314176,260046848,119894528,0.0255818013101816,1.1003335062414408,167334912,260046848,,,
M1_full_ghost,42,5,0.4165324023646167,0.3841933043353259,0.9491,0.995693195331761,1170,1.068115234375,0.1671340763568878,0.8519970774650574,0.1480029672384262,236.61663818359372,1.1902882761205548e-05,59.168235778808594,4515.806640625,6757.666015625,59904,234,8.756292519159615,9.894408121705055,6972.867156251275,0.0367137354352853,0.0,0.0,3.815394081115723,0.3048485788106919,0.0262369281649589,0.0151408959180117,0.0026914240121841,0.0035156159996986,0.029971455514431,0.1255567398071289,10,10,2560,2560,10069164,2517291,0.1652784273028373,0.0033710401058197,9349120,260046848,167334912,260046848,157985792,0,8.591014091856778,19419648,260046848,139314176,260046848,119894528,0.0254290550947189,1.0991434948518872,167334912,260046848,,,
M2_a_ghost_p05,42,1,0.7411501631777511,0.3912138461112976,0.9137,0.7861127240333559,234,1.068115234375,0.7123063802719116,0.3408123552799225,0.6591876149177551,164.18626403808594,39.83085632324219,501.00439453125,1555.865966796875,2527.33984375,59904,234,9.116435388103127,10.275254927575588,6694.599624503843,0.0382397774861663,0.0,0.0,3.5705490674972533,0.30450688123703,0.0235554232746362,0.02709276830405,0.0048252800107002,0.0,0.0390633919127285,0.1181160659790039,10,0,0,2560,9998116,2499528,0.1683274563401937,0.0057960638999938,9349120,241172480,167364096,245366784,158014976,0,8.948107931762934,19348480,245366784,168558592,245366784,149210112,0.0258751902729272,1.1186486389487982,168558592,245366784,97661.0323146266,97661.0323146266,1.0
