method,seed,epoch,algorithm_epoch_seconds,wall_epoch_seconds,private_samples_per_second,seconds_per_batch,exact_forward_backward_seconds,per_sample_precondition_clip_seconds,ghost_first_pass_seconds,ghost_second_pass_seconds,aggregate_transform_seconds,noise_step_seconds,activation_forward_seconds,curvature_backward_seconds,factor_accumulation_seconds,matrix_function_seconds,preconditioner_build_seconds,synthetic_generation_seconds,private_train_seconds,diagnostic_postprocess_seconds,evaluation_seconds
M0_original,42,1,8.073365977033973,9.217893010005357,7595.23482913997,0.0337053436475495,0.8543691546916962,2.4319911127090474,0.0,0.0,0.0,0.0217249280810357,0.0060743999481201,0.0085367360711097,0.0404346877411007,0.1243371505737304,0.1863155635073781,0.005715968132019,7.887050413526595,0.0257214149460196,1.10523534193635
M0_original,42,2,7.708218300715089,8.84993461240083,7939.426759814964,0.0322441415160767,0.8365271687507628,2.4375462112426747,0.0,0.0,0.0,0.0150519358813763,0.0026982399523258,0.0036006080210208,0.0294226874634623,0.1237514266967773,0.1630891859531402,0.0034337599277496,7.545129114761949,0.0254716854542493,1.1033572675660253
M0_original,42,3,7.705051209777594,8.85088911280036,7943.756743817437,0.0322265658750493,0.8380521266460418,2.4391804494857805,0.0,0.0,0.0,0.0150935038924217,0.0026857279837131,0.0035225599706172,0.0296248008534312,0.1246464004516601,0.1640347950160503,0.0033831360340118,7.541016414761543,0.0254940437152981,1.1075445776805282
M0_original,42,4,7.712458378635347,8.85662922821939,7936.198021189152,0.0322572596243813,0.8382094421386717,2.4423404378891,0.0,0.0,0.0,0.0150562878847122,0.0026818559467792,0.0035706879794597,0.0296326407715678,0.1247682571411132,0.1642596265301108,0.0033898239135742,7.548198752105236,0.0273244967684149,1.1034305486828089
M0_original,42,5,7.714955399744213,8.840294647030532,7935.966127112278,0.032258202202427,0.8379204790592192,2.4476784744262683,0.0,0.0,0.0,0.0152547199502588,0.0027115520238876,0.0036013759970664,0.0300574714466929,0.1265786895751953,0.1665360843762755,0.0034058239459991,7.548419315367937,0.0255750445649027,1.0868765618652103
M1_full_ghost,42,1,9.406219388358297,10.551329125650229,6498.17928857468,0.0393956504786052,0.0,0.0,3.8433126697540296,0.3052372508049016,0.0262892481461167,0.0254823355302215,0.0059749440550804,0.0085237439870834,0.0409395843297243,0.1254451217651367,0.1876371763646602,0.005555200099945,9.218582211993636,0.0257339179515838,1.1049556033685803
M1_full_ghost,42,2,8.785086393356323,9.928484636358917,6949.496837061625,0.0368371992968978,0.0,0.0,3.8150771694183367,0.3049345960617066,0.0264048642218113,0.0151303038746119,0.0027178240716457,0.0036055040359497,0.0299653124138712,0.1252925415039062,0.1651817578822374,0.0034277439117431,8.619904635474086,0.0253015933558344,1.1044056033715606
M1_full_ghost,42,3,8.786651225760579,9.92553398013115,6948.007994419303,0.0368450928964994,0.0,0.0,3.8157454891204807,0.3049921637773517,0.0263731202110648,0.0151244159042835,0.0026972160637378,0.0035624639987945,0.0299591683670878,0.1250703353881836,0.1648994879797101,0.0034429440498352,8.621751737780869,0.0256312452256679,1.099495123140514
M1_full_ghost,42,4,8.774629034101963,9.914215026423337,6957.906668014743,0.0367926751844521,0.0,0.0,3.815472795486448,0.304748899817467,0.0262912001833319,0.0151703039035201,0.0026937920451164,0.0035642560124397,0.029960192143917,0.1253160934448242,0.1651430409401655,0.0034254078865051,8.609485993161798,0.0255818013101816,1.1003335062414408
M1_full_ghost,42,5,8.756292519159615,9.894408121705055,6972.867156251275,0.0367137354352853,0.0,0.0,3.815394081115723,0.3048485788106919,0.0262369281649589,0.0151408959180117,0.0026914240121841,0.0035156159996986,0.029971455514431,0.1255567398071289,0.1652784273028373,0.0033710401058197,8.591014091856778,0.0254290550947189,1.0991434948518872
M2_a_ghost_p05,42,1,9.116435388103127,10.275254927575588,6694.599624503843,0.0382397774861663,0.0,0.0,3.5705490674972533,0.30450688123703,0.0235554232746362,0.02709276830405,0.0048252800107002,0.0,0.0390633919127285,0.1181160659790039,0.1683274563401937,0.0057960638999938,8.948107931762934,0.0258751902729272,1.1186486389487982
M2_a_ghost_p05,42,2,8.779754946008325,9.92238036263734,6944.7824409533205,0.0368622058612477,0.0,0.0,3.5654323835372925,0.3051484202146534,0.0237808314189314,0.0152307199314237,0.0026902400553226,0.0,0.028565567728132,0.1190216979980468,0.1539987744763493,0.0035583360195159,8.625756171531975,0.0258213086053729,1.10318339522928
M2_a_ghost_p05,42,3,8.792661198414862,9.938858345150948,6934.579874415067,0.0369164397319157,0.0,0.0,3.562765795707705,0.3052349489927293,0.0237465593218802,0.0152124799266458,0.0026749439835548,0.0,0.028569535959512,0.1192192611694336,0.1542143011465668,0.0035600318908691,8.638446897268295,0.0255249505862593,1.1071281973272562
M2_a_ghost_p05,42,4,8.797914885915816,9.943611060269175,6930.189788217463,0.0369398252895245,0.0,0.0,3.563454919815064,0.3049911723136903,0.0236383673548697,0.015220863930881,0.0026974080204963,0.0,0.0285634558163583,0.11903564453125,0.1539957681670785,0.0035235199928283,8.643919117748737,0.0257665487006306,1.1063772225752473
M2_a_ghost_p05,42,5,8.737670042552054,9.8792932536453,6978.399457126531,0.0366846297023833,0.0,0.0,3.564984798431398,0.3050607402324676,0.0235916792750358,0.015216671936214,0.0026831040680408,0.0,0.0285570235140621,0.1185688934326171,0.1534666921943426,0.0035015680789947,8.584203350357711,0.0253390651196241,1.103208933956921
M3_a_ghost_p025,42,1,8.59860447794199,9.717349343001842,7091.935810541994,0.0360973374321101,0.0,0.0,3.555334787368774,0.3044875857830051,0.0234803192317485,0.0166195518895984,0.0026787839531898,0.0,0.0284282879717648,0.1171717758178711,0.1518275188282132,0.0033734080791473,8.446776959113777,0.0257854014635086,1.079057715833187
M3_a_ghost_p025,42,2,8.566894450224936,9.67027650307864,7120.2280950766735,0.0359539043667734,0.0,0.0,3.557043235778811,0.3048517799377446,0.0236211512833833,0.0151206078976393,0.002686112076044,0.0,0.0286355202086269,0.1187809600830078,0.1536808283999562,0.0034113600254058,8.41321362182498,0.0257977843284606,1.0622190535068512
M3_a_ghost_p025,42,3,8.562147421762347,9.67197347059846,7124.407367783162,0.0359328133253078,0.0,0.0,3.557071011543277,0.3049571241140368,0.0236451832875608,0.0151449919044972,0.0030127040445804,0.0,0.0286810560114681,0.1185403518676757,0.1538691036403179,0.0034512960910797,8.40827831812203,0.025502648204565,1.0707001825794578
M3_a_ghost_p025,42,4,8.553976316004992,9.659403721801937,7131.236500256895,0.0358984027511607,0.0,0.0,3.5587647371292115,0.3047968677282337,0.0234838072359561,0.0151561278775334,0.0026929600834846,0.0,0.0286293122731149,0.1188384017944336,0.1537500722333789,0.0034195840358734,8.400226243771613,0.026019780896604,1.0656349258497355
M3_a_ghost_p025,42,5,8.528642122633755,9.629056692123411,7152.731943383013,0.0357905206047635,0.0,0.0,3.5578071680068994,0.3048655406236651,0.0234905592352151,0.0151701759248972,0.0026591680347919,0.0,0.0286243841610848,0.1188250885009765,0.1536603011190891,0.0033979520797729,8.374981821514666,0.0253977300599217,1.0616515912115574
M0_original,7,1,7.743965350091457,8.890123513527215,7903.773511510048,0.0323895920887907,0.8474175660610195,2.467617371559144,0.0,0.0,0.0,0.0155287679880857,0.0027413760125637,0.0035545279681682,0.0297175032421946,0.1250498580932617,0.1648008013144135,0.0035470080375671,7.579164548777044,0.0257721869274973,1.1072808168828487
M0_original,7,2,7.745866550132632,8.89327982161194,7906.023107558372,0.0323803758877528,0.846352511405945,2.470497699737547,0.0,0.0,0.0,0.0154410240203142,0.0027436480224132,0.0035932160317897,0.0305182725712656,0.1283840026855468,0.1688585923984646,0.0034375998973846,7.577007957734168,0.0274852411821484,1.1068853233009577
M0_original,7,3,7.737855980172753,8.885147108696401,7914.262939817825,0.0323466634791758,0.8465655341148375,2.473002886772156,0.0,0.0,0.0,0.0156138560771941,0.0027443199753761,0.003632384032011,0.0305182725712657,0.1282109375,0.1687367260456085,0.0034423038959503,7.569119254127145,0.025585239753127,1.108902300707996
M0_original,7,4,7.740963472053409,8.884771477431059,7912.263834580891,0.0323548361571489,0.8479352023601533,2.473413000106813,0.0,0.0,0.0,0.0154811200425028,0.002745344042778,0.00359423995018,0.0307466239258646,0.1292359619140625,0.1699318112805485,0.0034377601146698,7.57103166077286,0.027201029472053,1.1037372900173068
M0_original,7,5,7.711018092930317,8.848179515451193,7940.206802405427,0.0322409738651198,0.8469555509090426,2.4740907783508304,0.0,0.0,0.0,0.0155198400393128,0.0027259200513362,0.0036559360027313,0.0301352960392832,0.1264845428466796,0.166630208492279,0.0034410560131072,7.544387884438038,0.0256552239879965,1.0987862050533297
M1_full_ghost,7,1,9.072418256662786,10.169865273870528,6744.125806146662,0.0379589597463735,0.0,0.0,3.841814291000369,0.3048622107505801,0.0264366402998566,0.0251191039234399,0.0062331199645996,0.0086945600509643,0.0417055035904049,0.1265223693847656,0.1900216760113835,0.0055685119628906,8.882396580651402,0.0258931005373597,1.0571168083697555
M1_full_ghost,7,2,8.444598120637238,9.533964733593166,7235.523749395165,0.03538099090911,0.0,0.0,3.819420494079589,0.304992708206177,0.0263819203004241,0.0152490239366889,0.0027152640521526,0.0035915519893169,0.0299837438389658,0.1256017913818359,0.1654462479054927,0.0033643519878387,8.279151872731745,0.025556850247085,1.0500975018367171
M1_full_ghost,7,3,8.462836690247059,9.536645895801485,7219.41993712133,0.0354599126009668,0.0,0.0,3.819720792770387,0.3050410270690922,0.0263460162654519,0.0152875198870897,0.00269926404953,0.0035246080160141,0.0299847676083445,0.1254686737060547,0.1652171416208148,0.0033623359203338,8.297619548626244,0.0256170816719532,1.0345979761332271
M1_full_ghost,7,4,8.44906593579799,9.5385800935328,7231.438338535331,0.0354009794477277,0.0,0.0,3.820299171447754,0.3052161324024203,0.0265405763462185,0.0152651519551873,0.0026962560713291,0.0035184640288352,0.0299892153143882,0.125507583618164,0.1652367450296878,0.0033511040210723,8.283829190768301,0.0251468028873205,1.0508437622338531
M1_full_ghost,7,5,8.394577200524509,9.482066712342204,7279.338197732477,0.0351680321817915,0.0,0.0,3.819550621032718,0.3050286766290668,0.0264370243176817,0.0152922239303589,0.002697280049324,0.0035380160212516,0.0299932154938578,0.1254943008422851,0.1652576699852943,0.0033597118854522,8.229319530539215,0.0256006633862853,1.0484804548323154
M2_a_ghost_p05,7,1,8.818288657814264,9.967286062426863,6924.760978983782,0.0369687850276629,0.0,0.0,3.5488624038696286,0.3045634578466415,0.0236021752730011,0.0256702079623938,0.0041054399907588,0.0,0.0385279362089932,0.1190032653808593,0.1675929613411426,0.00539852809906,8.650695696473122,0.0256228810176253,1.1090841628611088
M2_a_ghost_p05,7,2,8.745285492390394,9.885175690054892,6972.237607156338,0.0367170504541096,0.0,0.0,3.5511823625564563,0.3049876841306687,0.023457791224122,0.0151090558841825,0.0026664960384368,0.0,0.0284825591929256,0.118757568359375,0.1534956861287355,0.0034400639533996,8.591789806261659,0.0265085594728589,1.099838888272643
M2_a_ghost_p05,7,3,8.742711608298123,9.873385662212968,6974.539035584911,0.036704934719536,0.0,0.0,3.551447134971617,0.3050556839704514,0.0235202552452683,0.0151096638664603,0.0026822080314159,0.0,0.0284928953535854,0.1190071334838867,0.1537568839266896,0.0034024319648742,8.588954724371433,0.0256313290446996,1.091423761099577
