method,seed,epoch,operator_state_bytes,stored_scalar_count,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes
M0_original,42,1,10069164,2517291,9349120,1287651328,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,42,2,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,42,3,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,42,4,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,42,5,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M1_full_ghost,42,1,10069164,2517291,9349120,255852544,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,42,2,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,42,3,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,42,4,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,42,5,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M2_a_ghost_p05,42,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,42,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,42,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,42,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,42,5,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,42,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,42,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,42,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,42,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,42,5,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M0_original,7,1,10069164,2517291,9349120,1287651328,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,7,2,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,7,3,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,7,4,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,7,5,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M1_full_ghost,7,1,10069164,2517291,9349120,255852544,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,7,2,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,7,3,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,7,4,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,7,5,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M2_a_ghost_p05,7,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,7,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,7,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,7,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,7,5,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,7,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,7,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,7,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,7,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,7,5,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M0_original,123,1,10069164,2517291,9349120,1287651328,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,123,2,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,123,3,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,123,4,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,123,5,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M1_full_ghost,123,1,10069164,2517291,9349120,255852544,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,123,2,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,123,3,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,123,4,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,123,5,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M2_a_ghost_p05,123,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,123,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,123,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,123,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,123,5,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,123,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,123,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,123,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,123,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M3_a_ghost_p025,123,5,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M0_original,2024,1,10069164,2517291,9349120,1287651328,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,2024,2,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,2024,3,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,2024,4,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M0_original,2024,5,10069164,2517291,9349120,1293942784,167334912,1293942784,157985792,211888128,19419648,1293942784,851975680,1293942784,832556032,851975680,1293942784
M1_full_ghost,2024,1,10069164,2517291,9349120,255852544,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,2024,2,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,2024,3,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,2024,4,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M1_full_ghost,2024,5,10069164,2517291,9349120,260046848,167334912,260046848,157985792,0,19419648,260046848,139314176,260046848,119894528,167334912,260046848
M2_a_ghost_p05,2024,1,9998116,2499528,9349120,241172480,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,2024,2,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,2024,3,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
M2_a_ghost_p05,2024,4,9998116,2499528,9349120,245366784,167364096,245366784,158014976,0,19348480,245366784,168558592,245366784,149210112,168558592,245366784
