method,seed,epoch,layer,mean,median,p90,p99
M2_a_ghost_p05,7,1,conv1,0.0003091319231316447,0.00021118251606822014,0.0005909320316277444,0.0018695211037993431
M2_a_ghost_p05,7,1,conv2,0.015658995136618614,0.011806432157754898,0.03207147493958473,0.060018230229616165
M2_a_ghost_p05,7,1,fc1,0.5241329669952393,0.5214192867279053,0.6177847981452942,0.7343314290046692
M2_a_ghost_p05,7,1,fc2,0.4598989188671112,0.4636188745498657,0.5610953569412231,0.6416340470314026
M2_a_ghost_p05,7,2,conv1,0.006619423162192106,0.005831846967339516,0.011534852907061577,0.018785081803798676
M2_a_ghost_p05,7,2,conv2,0.07748646289110184,0.07418319582939148,0.10582276433706284,0.14818300306797028
M2_a_ghost_p05,7,2,fc1,0.7803035378456116,0.7854074835777283,0.8228148221969604,0.8482831716537476
M2_a_ghost_p05,7,2,fc2,0.1355905830860138,0.13089387118816376,0.18015916645526886,0.23180285096168518
M2_a_ghost_p05,7,3,conv1,0.009941764175891876,0.008332472294569016,0.01799747906625271,0.027758561074733734
M2_a_ghost_p05,7,3,conv2,0.09827454388141632,0.09522409737110138,0.13086527585983276,0.16849181056022644
M2_a_ghost_p05,7,3,fc1,0.7324435114860535,0.7540855407714844,0.8105836510658264,0.8415935635566711
M2_a_ghost_p05,7,3,fc2,0.15934017300605774,0.13200315833091736,0.28245124220848083,0.4719013273715973
M2_a_ghost_p05,7,4,conv1,0.011966105550527573,0.00968053750693798,0.021986257284879684,0.03606916964054108
M2_a_ghost_p05,7,4,conv2,0.11145733296871185,0.10909619182348251,0.14237795770168304,0.17205224931240082
M2_a_ghost_p05,7,4,fc1,0.713323175907135,0.7357382774353027,0.8012827038764954,0.8333488702774048
M2_a_ghost_p05,7,4,fc2,0.16325341165065765,0.13323098421096802,0.29904478788375854,0.4437946379184723
M2_a_ghost_p05,7,5,conv1,0.015441903844475746,0.012631275691092014,0.027972431853413582,0.04816075786948204
M2_a_ghost_p05,7,5,conv2,0.12039494514465332,0.11936447769403458,0.15524376928806305,0.1885703057050705
M2_a_ghost_p05,7,5,fc1,0.6448975801467896,0.6681398153305054,0.777054488658905,0.8186288475990295
M2_a_ghost_p05,7,5,fc2,0.21926553547382355,0.188832089304924,0.4184509515762329,0.5642431974411011
