epoch,step,train_loss,test_loss,test_accuracy,epsilon_spent
1,234,0.8721178149820393,0.5711302651643753,0.9004,0.7861127240333559
2,468,0.5829887316904516,0.48175693267583847,0.9342,0.8385078418579571
3,702,0.514963633611671,0.43318828918747604,0.9408,0.8909029596825585
4,936,0.46858653833723474,0.40134588703373447,0.9449,0.9432980775071597
5,1170,0.42985115837082905,0.3821959243763238,0.9493,0.995693195331761
