Method,Epsilon,Seed,Accuracy,Loss
DP-SGD,2.8,42,0.65468,0.5896602276028419
KFAC (Public),2.8,42,0.85528,0.47788827972752707
KFAC (Synthetic),2.8,42,0.83652,0.5314994098580613
AdaDPS,2.8,42,0.67136,0.6070966735786322
