Method,Epsilon,Seed,Accuracy,Loss
Plain SGD,0.0,42,0.9413435828877005,0.255345382271929
DP-SGD,7.5,42,0.7961229946524064,0.424712820573056
KFAC (Public),7.5,42,0.9888034759358288,0.27200567579649865
KFAC (Synthetic),7.5,42,0.9455213903743316,0.29440624694874945
