Method,Epsilon,Seed,Accuracy,Loss
Plain SGD,inf,42,0.6956,1.0344353899359704
DP-SGD,7.5,42,0.6335,1.3030934780836105
Public KFAC,7.5,42,0.6084,1.4777118802070617
Pink KFAC,7.5,42,0.6019,1.4769855469465256
Private Oracle KFAC,7.5,42,0.6062,1.4927380442619325
