task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
mnist,dp_kfm,pink,0.5,42,1,conv1,True,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,conv1,160.0,2.4069260292568133,160,1.0,206922,66.47483057441661,20138360,5.164863594530364,0.5424913869125315,134.82070380903582,26.65655667793419,0.04390336635477699,1.1703125735882218,1.0007224966226365,0.0010002034420851299,0.0010009260856939858
mnist,dp_kfm,pink,0.5,42,1,conv2,True,0.8169699345649275,0.6628943531273978,0.9694311260666093,0.254558665415884,conv2,4640.0,23.55934413332971,4640,1.0,206922,196.94945554259857,20138360,78.97025699017375,0.7104695239844416,2342.949403147913,6171.028340240056,0.0019927776100180064,12.297487107216964,1.010577353603839,0.0010000144210350658,0.001010591927175292
mnist,dp_kfm,pink,0.5,42,1,fc1,True,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,fc1,200832.0,519.8304284934318,200832,1.0,206922,386.34137016959477,20138360,1046.1622404256134,0.5968475768077509,112733.790481339,38305.9951968204,0.001,38.3059951968204,28.57138752482234,0.001,0.028571387524822342
mnist,dp_kfm,pink,0.5,42,1,fc2,True,0.854649087127294,0.5625582573472794,0.997739912640114,0.06720477903081529,fc2,1290.0,19.160795455399082,1290,1.0,206922,67.32497108498212,20138360,420.15240881103136,0.7985338245385343,750.4533756832719,1547.9282810655716,0.001,1.5479282810655717,114.04148938230693,0.001,0.11404148938230693
mnist,dp_kfm,pink,0.5,42,2,conv1,True,0.861674992974544,0.7909976554819105,0.9887087350115304,4.6048646612988575,conv1,160.0,2.501850952382289,160,1.0,206922,63.952650675551354,20138360,6.2955481797080886,0.5443740058086052,134.67155468878633,26.605394469385256,0.04394917128192075,1.1692850385580797,1.4896951416613071,0.0010179749207225358,0.0015164722937334159
mnist,dp_kfm,pink,0.5,42,2,conv2,True,0.9186686807347787,0.8285798739631601,0.9852411136779543,3.7756800208410315,conv2,4640.0,33.80185326532647,4640,1.0,206922,137.27057991697916,20138360,128.58574955912758,0.7961496055209417,1913.731167436033,9183.891317657122,0.0029157177169088404,26.77763462505815,1.800358303227471,0.0010011416381049962,0.0018024136608690818
mnist,dp_kfm,pink,0.5,42,2,fc1,True,0.6039613945477771,0.9197840186658942,0.7818916589008665,3.7663253024447494,fc1,200832.0,2514.725960643359,200832,1.0,206922,79.86237989471418,20138360,15516.682661669043,1.0948358460674736,31408.693501234015,1864701.3346314337,0.001,1864.7013346314338,129.11850082980146,0.001,0.12911850082980147
mnist,dp_kfm,pink,0.5,42,2,fc2,True,0.9221931304205824,0.7840158729563428,0.8341678143464814,3.8218490423001135,fc2,1290.0,458.3882967442518,1290,1.0,206922,2.8142079742488026,20138360,30944.865895207327,1.6905100258425392,187.42208429976304,3345025.9569435073,0.001,3345.0259569435075,286.2712390272007,0.0010000009720675137,0.28627151730217226
mnist,dp_kfm,pink,0.5,42,3,conv1,True,0.8611448779803761,0.7913566638596873,0.9854747190444182,6.505135392675348,conv1,160.0,2.830348258899786,160,1.0,206922,56.53014589172686,20138360,9.994433820882342,0.563015209034283,132.81327926224296,26.43308622538906,0.04414639619698689,1.1669254972151422,3.7789271577396586,0.001061103121035872,0.0040098314012447685
mnist,dp_kfm,pink,0.5,42,3,conv2,True,0.9079120970782122,0.8352962113179947,0.9501916261351755,4.991978595597052,conv2,4640.0,39.708400553837116,4640,1.0,206922,116.85184835659733,20138360,223.21200339572357,0.806008445413623,1972.314505968725,7849.5260895849415,0.002997574772482347,23.529541382081828,6.347338411428483,0.001,0.006347338411428483
mnist,dp_kfm,pink,0.5,42,3,fc1,True,0.5803803482585247,0.9267132022063729,0.6372392923113487,3.910092666559409,fc1,200832.0,2653.632676344611,200832,1.0,206922,75.68191400048889,20138360,20475.971872844162,1.0912849485894447,38582.25279525357,1201689.8530003428,0.001,1201.689853000343,348.8965335695363,0.001,0.3488965335695363
mnist,dp_kfm,pink,0.5,42,3,fc2,True,0.8056624147041553,0.8691804172366067,0.6480907061186874,3.1570242492039413,fc2,1290.0,842.3366601191352,1290,1.0,206922,1.5314541810605156,20138360,63788.60792551517,1.9165458225679193,211.47438395582267,7119363.696415755,0.001,7119.363696415755,571.5379456065194,0.0010000035823502344,0.5715399930556129
