lambda_damping,factor_damping,p,test_loss,clip_fraction,preclip_norm_mean,preclip_norm_p90,preclip_norm_p99,powell_rate,modified_rate,damping_trigger_rate,seed,smoke,test_accuracy,epsilon_spent,steps,accounting_convention,drop_last,sample_rate,noise_multiplier,total_steps,synthetic_batches,conv1/a/accepted,conv1/a/rejected,conv1/a/powell_damping,conv1/a/modified_damping,conv1/a/damping_eligible_pairs,conv1/a/powell_rate,conv1/a/modified_rate,conv1/a/damping_trigger_rate,conv1/g/accepted,conv1/g/rejected,conv1/g/powell_damping,conv1/g/modified_damping,conv1/g/damping_eligible_pairs,conv1/g/powell_rate,conv1/g/modified_rate,conv1/g/damping_trigger_rate,conv2/a/accepted,conv2/a/rejected,conv2/a/powell_damping,conv2/a/modified_damping,conv2/a/damping_eligible_pairs,conv2/a/powell_rate,conv2/a/modified_rate,conv2/a/damping_trigger_rate,conv2/g/accepted,conv2/g/rejected,conv2/g/powell_damping,conv2/g/modified_damping,conv2/g/damping_eligible_pairs,conv2/g/powell_rate,conv2/g/modified_rate,conv2/g/damping_trigger_rate,fc1/a/accepted,fc1/a/rejected,fc1/a/powell_damping,fc1/a/modified_damping,fc1/a/damping_eligible_pairs,fc1/a/powell_rate,fc1/a/modified_rate,fc1/a/damping_trigger_rate,fc1/g/accepted,fc1/g/rejected,fc1/g/powell_damping,fc1/g/modified_damping,fc1/g/damping_eligible_pairs,fc1/g/powell_rate,fc1/g/modified_rate,fc1/g/damping_trigger_rate,fc2/a/accepted,fc2/a/rejected,fc2/a/powell_damping,fc2/a/modified_damping,fc2/a/damping_eligible_pairs,fc2/a/powell_rate,fc2/a/modified_rate,fc2/a/damping_trigger_rate,fc2/g/accepted,fc2/g/rejected,fc2/g/powell_damping,fc2/g/modified_damping,fc2/g/damping_eligible_pairs,fc2/g/powell_rate,fc2/g/modified_rate,fc2/g/damping_trigger_rate
0.0001,0.01,0.25,0.36619692945796994,0.15598290598290598,18.504588597860092,20.646400567367035,323.02915530734595,0.4,0.81,0.605,7,False,0.9437,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,45,50,0.8,0.9,0.8500000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,40,46,50,0.8,0.92,0.8600000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,0,40,50,0.0,0.8,0.4,50,0,0,0,0,0.0,0.0,0.0,50,0,0,31,50,0.0,0.62,0.31
0.0001,0.01,0.25,0.39517465258524753,0.16099091880341881,19.020135280413506,27.7087411742944,310.8536613007896,0.4,0.765,0.5825,42,False,0.9397,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,47,50,0.8,0.94,0.87,50,0,0,0,0,0.0,0.0,0.0,50,0,40,47,50,0.8,0.94,0.87,50,0,0,0,0,0.0,0.0,0.0,50,0,0,40,50,0.0,0.8,0.4,50,0,0,0,0,0.0,0.0,0.0,50,0,0,19,50,0.0,0.38,0.19
0.001,0.03162277660168379,0.25,0.34498591639902443,0.15484775641025642,15.089407578492777,18.36735208931132,261.7921389718341,0.4,0.89,0.645,7,False,0.9451,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,42,50,0.8,0.84,0.8200000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,40,46,50,0.8,0.92,0.8600000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,40,50,0.0,0.8,0.4
0.001,0.03162277660168379,0.25,0.37068089344669136,0.15918803418803418,16.169341886145435,22.225342377638206,265.38032296987683,0.4,0.865,0.6325000000000001,42,False,0.9422,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,47,50,0.8,0.94,0.87,50,0,0,0,0,0.0,0.0,0.0,50,0,40,46,50,0.8,0.92,0.8600000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,0,40,50,0.0,0.8,0.4,50,0,0,0,0,0.0,0.0,0.0,50,0,0,40,50,0.0,0.8,0.4
0.01,0.1,0.25,0.3313693508986384,0.1535957532051282,12.926107233406132,15.847201984152834,222.15631716475528,0.4,0.925,0.6625000000000001,7,False,0.9459,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,44,50,0.8,0.88,0.8400000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,40,46,50,0.8,0.92,0.8600000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,45,50,0.0,0.9,0.45
0.01,0.1,0.25,0.3570674290406285,0.15745192307692307,13.79264563984341,19.741430830242287,227.90050278362045,0.4,0.965,0.6825,42,False,0.9425,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,45,50,0.8,0.9,0.8500000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,40,49,50,0.8,0.98,0.89,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,49,50,0.0,0.98,0.49
0.1,0.31622776601683794,0.25,0.3141852294400334,0.150257077991453,10.533810675653637,12.825376579776789,182.15645570021408,0.4,0.935,0.6675,7,False,0.9474,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,43,50,0.8,0.86,0.8300000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,40,44,50,0.8,0.88,0.8400000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5
0.1,0.31622776601683794,0.25,0.3364859349465929,0.15382946047008547,11.274131518143873,15.950291728107338,187.72329310881787,0.4,0.97,0.685,42,False,0.9452,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,48,50,0.8,0.96,0.88,50,0,0,0,0,0.0,0.0,0.0,50,0,40,46,50,0.8,0.92,0.8600000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5
0.3,0.5477225575051661,0.25,0.3113409744951874,0.14873798076923078,9.755632438211359,11.813447713342487,169.30570084009415,0.4,0.96,0.6799999999999999,7,False,0.9473,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,42,50,0.8,0.84,0.8200000000000001,50,0,0,0,0,0.0,0.0,0.0,50,0,40,50,50,0.8,1.0,0.9,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5
0.3,0.5477225575051661,0.25,0.32830413701580835,0.15264423076923078,10.35558396934444,14.346379398026018,172.6554331005129,0.4,0.985,0.6925,42,False,0.9451,0.995693195331761,1170,"fixed-batch shuffled; drop_last=True; RDP q=batch_size/train_size, steps=epochs*floor(train_size/batch_size)",True,0.004266666666666667,1.068115234375,1170,10,50,0,0,0,0,0.0,0.0,0.0,50,0,40,47,50,0.8,0.94,0.87,50,0,0,0,0,0.0,0.0,0.0,50,0,40,50,50,0.8,1.0,0.9,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5,50,0,0,0,0,0.0,0.0,0.0,50,0,0,50,50,0.0,1.0,0.5
