method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps
DP-KFC-A,a_only,mismatch,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,23,5,0.2618928629522904,0.2237845133335213,0.9574,8.410590573213995,0.6699815206229687,0.0,9.599123175255954,1.0522309159860015,0.28476050682365894,1.5041191782802343,0.0,0.0,11369180160.0,4680.0,242098740.0,0.0,58277888.0,110790656.0,0.4377959156408906,96035840.0,178257920.0,24.384872713126242,202084352.0,306184192.0,24.822668628767133,3.4300663974136114,0.16541466116905212,0.8589097857475281,0.0005494543584063649,17.185558319091797,869.890380859375,1118.0987548828125,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,23,5,0.2618705067688074,0.223766634020285,0.9574,9.38890925515443,0.0,10.127240207977593,1.1064470959827304,2.0316543160006404,0.0,1.8875077227130532,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,0.4344828622415662,96035840.0,178257920.0,27.37333812750876,654356480.0,918552576.0,27.807820989750326,3.4031534735113382,0.16539797186851501,0.8589319586753845,0.0005489753093570471,17.15412712097168,869.3812255859375,1117.37109375,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,23,5,0.2727169163334064,0.2331732759526858,0.9568,6.192284530960023,0.5657080067321658,0.0,9.058264038525522,0.9009823640808463,0.2529646288603544,1.2221412500366569,0.0,0.0,11369180160.0,4680.0,242098740.0,0.0,58277888.0,110790656.0,0.156787546351552,96035840.0,178257920.0,20.406111054122448,202084352.0,306184192.0,20.562898600474,2.938474494032562,0.14857104420661926,0.8740526437759399,0.00024204206420108676,8.888774871826172,501.6024169921875,677.0184936523438,1170,1170,1170,1170
DP-KFC-A,a_only,pink,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,23,5,0.27271836161868185,0.23317111923261108,0.9568,7.93474209215492,0.0,10.007478643208742,0.8310239352285862,1.6973782209679484,0.0,1.3705366933718324,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,0.1666217129677534,96035840.0,178257920.0,23.96185237262398,654356480.0,918552576.0,24.128474085591733,3.0085744224488735,0.14855435490608215,0.8740562200546265,0.0002420804084977135,8.889568328857422,501.5246276855469,676.7722778320312,1170,1170,1170,1170
DP-Adam,base,none,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.4414019317199022,0.4130789372808067,0.9277,6.256146383471787,0.0,0.0,9.172007285989821,0.8982829209417105,0.0,1.22657978720963,0.0,0.0,0.0,0.0,0.0,0.0,58277888.0,102762496.0,6.330013275146484e-05,20333568.0,48234496.0,19.626800657249987,183960576.0,291504128.0,19.62686395738274,2.9300623638555408,0.21691372990608215,0.8156591057777405,0.0037944987416267395,60.21409606933594,307.5334777832031,434.171630859375,1170,1170,1170,1170
DP-Adam,base,none,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.44143890290178806,0.41293304263672326,0.9278,7.126988869160414,0.0,0.0,1.0433109737932682,1.265537611208856,0.0,1.5338189965113997,0.0,0.0,0.0,0.0,0.0,211888128.0,0.0,0.0,6.584357470273972e-05,20333568.0,48234496.0,13.227494190447032,469519872.0,488636416.0,13.227560034021735,3.0027594482526183,0.21689704060554504,0.8156348466873169,0.0037916782312095165,60.01637649536133,307.4442443847656,434.0488586425781,1170,1170,1170,1170
DP-KFC,full,match,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.340406992751309,0.3117179454289726,0.9507,6.194705500267446,0.8456436190754175,0.0,9.075908305123448,0.8869972955435514,0.3358814287930727,1.1720624025911093,0.0,0.0,17046282240.0,4680.0,242098740.0,0.0,58277888.0,123635712.0,1.528215297497809,120944640.0,209715200.0,20.728054565377533,215000576.0,308281344.0,22.256269862875342,3.0566396713256836,0.21025307476520538,0.8140860795974731,0.0006599889020435512,190.72239685058594,9165.583984375,13945.537109375,1170,1170,1170,1170
DP-KFC,full,match,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.34044587565983975,0.31171123486201396,0.9505,7.650748525746167,0.0,12.585646957159042,1.2867428557947278,1.85246092826128,0.0,1.4633403038606048,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,1.516633115708828,120944640.0,207618048.0,26.922621716745198,1065731584.0,1335885824.0,28.439254832454026,2.9690124997869134,0.21023638546466827,0.8140789866447449,0.0006616324535571039,190.95716857910156,9173.2998046875,13969.837890625,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.44167096861916727,0.41028374889683616,0.9385,6.247203174978495,0.8389293951913714,0.0,9.078049917705357,0.8847428495064378,0.3376852488145232,1.1896600257605314,0.0,0.0,17046282240.0,4680.0,242098740.0,0.0,58277888.0,123635712.0,0.4315830413252115,120944640.0,209715200.0,20.75139487721026,215000576.0,308281344.0,21.18297791853547,2.981227606534958,0.29699185490608215,0.7329316735267639,0.005973690189421177,4976.72119140625,84470.140625,107156.4921875,1170,1170,1170,1170
DP-KFC,full,mismatch,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.4416936551913237,0.4102918633947411,0.9384,7.646508323960006,0.0,12.631987766362727,1.252348673529923,1.8287314949557185,0.0,1.456166752614081,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,0.43923255801200867,120944640.0,207618048.0,26.869952093809843,1065731584.0,1335885824.0,27.30918465182185,2.9613508256152272,0.2970419228076935,0.7329236268997192,0.005965677089989185,4982.611328125,84472.25,107153.96875,1170,1170,1170,1170
DP-KFC,full,pink,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.4154706347383495,0.3702061222869816,0.9507,6.250754908658564,0.8492686292156577,0.0,9.076267576776445,0.8899575090035796,0.3394050383940339,1.2026454210281372,0.0,0.0,17046282240.0,4680.0,242098740.0,0.0,58277888.0,123635712.0,0.19562534615397453,120944640.0,209715200.0,20.790865123271942,215000576.0,308281344.0,20.986490469425917,2.9700185004621744,0.19589677453041077,0.8252761960029602,6.586170638911426e-05,196.32679748535156,11086.1142578125,16196.728515625,1170,1170,1170,1170
DP-KFC,full,pink,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.4155195680502643,0.3702626235259231,0.9507,7.61410481389612,0.0,12.695775497704744,1.1003137603402138,1.7583053736016154,0.0,1.374345948919654,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,0.22448653355240822,120944640.0,209715200.0,26.59076758660376,1065731584.0,1335885824.0,26.81525412015617,2.9435314871370792,0.1959468424320221,0.825278103351593,6.585202208952978e-05,196.4145965576172,11087.9140625,16183.0078125,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.21769485231011343,0.19136878937315488,0.9605,6.231680002994835,0.580366431735456,0.0,9.10438672825694,0.8803667398169637,0.2504975162446499,1.1985456589609385,0.0,0.0,11369180160.0,4680.0,242098740.0,0.0,58277888.0,110790656.0,1.5261937193572521,96035840.0,178257920.0,20.472431781701744,202084352.0,306184192.0,21.998625501058996,2.990197716280818,0.1529947966337204,0.8722826838493347,0.0010380056919530034,8.64519214630127,397.6772155761719,565.3983764648438,1170,1170,1170,1170
DP-KFC-A,a_only,match,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.21770820047101405,0.19137706028741377,0.9604,7.950556943193078,0.0,10.082279471680522,0.8332634055987,1.6749088158831,0.0,1.3246119413524866,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,1.3847469333559275,96035840.0,178257920.0,23.945674780756235,654356480.0,918552576.0,25.330421714112163,2.985558904707432,0.15291132032871246,0.8722851276397705,0.0010374619159847498,8.665095329284668,397.8297424316406,565.1654663085938,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.2908834351752049,0.26396853898186234,0.951,6.31263343244791,0.5773736294358969,0.0,9.125736963935196,0.8967318600043654,0.255226350389421,1.212625913321972,0.0,0.0,11369180160.0,4680.0,242098740.0,0.0,58277888.0,110790656.0,0.3936112765222788,96035840.0,178257920.0,20.774466138333082,202084352.0,306184192.0,21.16807741485536,3.5041887760162354,0.20067107677459717,0.8280159831047058,0.0019930184353142977,54.13029861450195,1184.767578125,1393.458251953125,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.2909019111822813,0.2639970297143009,0.951,8.086431088857353,0.0,10.096396257169545,0.8724867245182395,1.7271705754101276,0.0,1.4369264841079712,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,0.4128413535654545,96035840.0,178257920.0,25.24025541637093,654356480.0,918552576.0,25.653096769936383,4.326297854073346,0.20062099397182465,0.8280300498008728,0.001994517631828785,54.15536880493164,1184.811279296875,1393.4219970703125,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.26363759300010836,0.22897728856005414,0.959,6.097265576012433,0.5613701241090894,0.0,9.063765213824809,0.9025466209277511,0.25650307070463896,1.203133799135685,0.0,0.0,11369180160.0,4680.0,242098740.0,0.0,58277888.0,110790656.0,0.15825693402439356,96035840.0,178257920.0,20.247714593075216,202084352.0,306184192.0,20.40597152709961,3.318122336640954,0.15511484444141388,0.8684477210044861,0.0004952289164066315,11.68040657043457,530.473388671875,699.4423828125,1170,1170,1170,1170
DP-KFC-A,a_only,pink,explicit,True,3.0,2.9970345788139245,1e-05,0.7025146484375,58,5,0.2636330135039285,0.22896989985820254,0.959,8.106743326410651,0.0,10.085899100638926,0.8859689449891448,1.7475742110982537,0.0,1.484708615578711,1198080.0,61977277440.0,0.0,0.0,0.0,211888128.0,0.0,0.0,0.16727754939347506,96035840.0,178257920.0,25.428031210787594,654356480.0,918552576.0,25.59530876018107,4.47867963835597,0.15509815514087677,0.8684486746788025,0.0004952801973558962,11.678350448608398,530.5161743164062,699.4254150390625,1170,1170,1170,1170
DP-Adam,base,none,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.4096379404266675,0.37453072775970214,0.9344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.3305217616705813,0.30942358046868323,0.9559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.5178834266769581,0.4561799616811527,0.9347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.3753512031438514,0.32295768531330393,0.9584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.19334762239367023,0.1691535716175167,0.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.3214310553147752,0.27696598139791606,0.9471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,42,5,0.23366742498344845,0.19297191169389408,0.9648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.37837995760715926,0.34534928400244097,0.9395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.2590870588986028,0.24948992898412142,0.9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.34277284923845375,0.32023086886615604,0.9573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.34875478834295887,0.33120158601262234,0.9569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.16502160392303625,0.15529619891199217,0.9691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.2213668433917511,0.20011350190222857,0.9634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,7,5,0.2136826880881165,0.20221840535623414,0.9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.3965051925589896,0.35580734540708364,0.9372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.29017691287156355,0.2649233634901066,0.9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.35526657859102273,0.3287968030355614,0.9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.3412007835781218,0.30409134519181863,0.9584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.19061825311400443,0.17030268335911386,0.9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.24014601111412048,0.21642921381553606,0.9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,91,5,0.22089034699413002,0.19588032510837367,0.9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.3983839223973262,0.3421273577172542,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.3087433350996839,0.26171763262586867,0.9597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.384389980799622,0.32912925479308797,0.9547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.4035485250572873,0.34228266674616636,0.9546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.19213612208891118,0.16077893587407743,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.23588029352518228,0.19863200956751825,0.9619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,23,5,0.24850646702524942,0.20913083746472694,0.9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-Adam,base,none,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.39921208267283237,0.36640743250609376,0.9358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.3173762161571246,0.28877390671714237,0.9566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.41356933046864647,0.38414558855074576,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC,full,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.38332056457925046,0.3409335054245048,0.9559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,match,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.19909364296298507,0.17180142034103482,0.9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,mismatch,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.26692114190922844,0.2403809606063078,0.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
DP-KFC-A,a_only,pink,bk,False,8.0,7.992692197253878,1e-05,0.518035888671875,58,5,0.24179647227701467,0.20724894914092146,0.9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170
