task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
mnist,dp_kfm_a,public,0.25,42,1,conv1,True,0.9660282295184386,0.9784331189526183,conv1,160.0,129.37983263119764,160,1.0,206922,1.2366687817264872,19996248,4.460045738261005,0.41484012777088686,144.42572606057854,395.691981769996,0.029905743251455643,11.833462813473167
mnist,dp_kfm_a,public,0.25,42,1,conv2,True,0.9336224782831184,0.8054845076380771,conv2,4640.0,1751.2701294983408,4640,1.0,206922,2.649505591309976,19996248,12.916530576688874,0.43963337737519087,3939.4671465203655,27834.50520087131,0.0015100995273601104,42.0328731481383
mnist,dp_kfm_a,public,0.25,42,1,fc1,True,0.8361055847818185,0.5683062079376703,fc1,200832.00000000003,46420.33616745229,200832,1.0000000000000002,206922,4.326379698663487,19996248,17.354375380463857,0.2735966705209506,186693.49616392568,90705.98599344745,0.001,90.70598599344746
mnist,dp_kfm_a,public,0.25,42,1,fc2,True,0.9332410043666731,0.3713046355254961,fc2,1290.0,285.44522398209904,1290,1.0,206922,4.519255855830676,19996248,7.062847876359058,0.25586295260534336,1204.5248994341525,2488.395510222416,0.001,2.488395510222416
mnist,dp_kfm_a,public,0.25,42,2,conv1,True,0.9661403163949288,0.9965325945176372,conv1,160.0,129.81856307109587,160,1.0,206922,1.2324893775967547,19996248,4.455366503290948,0.4140158109347251,144.49054822397602,394.03404002678036,0.03033189995576493,11.951801081258177
mnist,dp_kfm_a,public,0.25,42,2,conv2,True,0.9820752352430603,1.0600555668656881,conv2,4640.0,2040.8204971892396,4640,1.0,206922,2.2735953536288624,19996248,22.105116136477758,0.5137633849552551,3570.665374796546,238765.29628018857,0.0013770104022677824,328.7822966783687
mnist,dp_kfm_a,public,0.25,42,2,fc1,True,0.8391727065758973,0.8323125835990948,fc1,200832.0,84030.48924538908,200832,1.0,206922,2.3899896549872826,19996248,70.33150698959128,0.5410880277423445,147081.19515378238,24468068.77103437,0.0010000340941934709,24468.90299010491
mnist,dp_kfm_a,public,0.25,42,2,fc2,True,0.9286693185747419,0.8365533644334816,fc2,1290.0,1336.28572611078,1290,1.0,206922,0.9653624032597481,19996248,61.37353783488188,0.6915973958987225,924.025088489042,14188112.860185573,0.001,14188.112860185573
mnist,dp_kfm_a,public,0.25,42,3,conv1,True,0.9665223723415756,0.9633589764940979,conv1,160.0,129.66277823033522,160,1.0,206922,1.2339701661780933,19996248,4.411013853611983,0.4118315029366091,144.63615190469486,378.5765307387435,0.031014027277385652,11.741182850909418
mnist,dp_kfm_a,public,0.25,42,3,conv2,True,0.9822837361276162,1.019998260515628,conv2,4640.0,2092.5578332192595,4640,1.0,206922,2.217381964952277,19996248,21.542966530314935,0.5169297588912052,3575.662994441422,215388.2595093151,0.0016312302179577773,351.34783750492636
mnist,dp_kfm_a,public,0.25,42,3,fc1,True,0.8283149612455508,0.7654073992342324,fc1,200832.00000000003,89843.898591806,200832,1.0000000000000002,206922,2.2353437812450005,19996248,69.50257063833303,0.5572888866480951,148347.19954916672,23334767.131594386,0.001,23334.767131594388
mnist,dp_kfm_a,public,0.25,42,3,fc2,True,0.9185087975266265,0.7473282941247252,fc2,1290.0,1731.8800580011678,1290,1.0,206922,0.7448552768075872,19996248,81.31518779210862,0.7954270726457097,894.9461426354073,43720656.76669081,0.001,43720.656766690816
mnist,dp_kfm_a,public,0.25,42,4,conv1,True,0.9659774451333032,0.9922542403752851,conv1,160.0,129.88672433656285,160,1.0,206922,1.2318425983660004,19996248,4.442687460786428,0.41327972743932606,144.5385558337632,389.56779598597933,0.030600689356173133,11.921043108135985
mnist,dp_kfm_a,public,0.25,42,4,conv2,True,0.981795038823274,1.0424934436486302,conv2,4640.0,2102.675721210674,4640,1.0,206922,2.206712120748886,19996248,21.37645213767724,0.522088682641546,3581.836156396572,208805.77551560994,0.0016213779267524443,338.55307539943595
mnist,dp_kfm_a,public,0.25,42,4,fc1,True,0.7972937410507775,0.739426546053616,fc1,200832.0,91523.20494041989,200832,1.0,206922,2.194328751170136,19996248,60.82089185417587,0.5541144250215199,153039.18010137504,13683939.226884285,0.001,13683.939226884286
mnist,dp_kfm_a,public,0.25,42,4,fc2,True,0.8819553846681275,0.7075051063873404,fc2,1290.0,1788.7432897803733,1290,1.0,206922,0.7211767095760229,19996248,75.32624584040563,0.7747399833877223,930.8588574055188,32194767.511095874,0.001,32194.767511095873
mnist,dp_kfm_a,public,0.25,42,5,conv1,True,0.9663790212973998,0.9715354833250512,conv1,160.0,129.65782062861484,160,1.0,206922,1.2340173483117207,19996248,4.434552184042449,0.4131570877003922,144.56108075680137,386.72217842496497,0.03049287652583704,11.792271636515178
mnist,dp_kfm_a,public,0.25,42,5,conv2,True,0.9809248850652177,1.004518259496201,conv2,4640.0,2125.132267476659,4640,1.0,206922,2.1833935096705517,19996248,21.088379267594263,0.5199799933987583,3609.813791786181,197775.6472647631,0.0016200106428334938,320.3986534621992
mnist,dp_kfm_a,public,0.25,42,5,fc1,True,0.7674745184936044,0.6913188867118081,fc1,200832.0,93192.65802540234,200832,1.0,206922,2.155019550416273,19996248,54.425587048307364,0.5527974922905183,155845.14434098647,8774300.190262908,0.001,8774.300190262908
mnist,dp_kfm_a,public,0.25,42,5,fc2,True,0.8898760749079304,0.6786460540742699,fc2,1290.0,1884.9771288362167,1290,1.0,206922,0.6843584361134636,19996248,77.71920157923235,0.785268424670637,944.027011512534,36484913.54812654,0.001,36484.91354812654
