epoch,step,train_loss,test_loss,test_accuracy,epsilon_spent
1,234,0.7394805127738887,0.5305449472904206,0.8939,0.7861127240333559
2,468,0.5390661351828494,0.4817890170395374,0.9197,0.8385078418579571
3,702,0.4772395980663789,0.416031023645401,0.9282,0.8909029596825585
4,936,0.4258814917670356,0.3747800890588667,0.9381,0.9432980775071597
5,1170,0.40085118636488914,0.37068089344669136,0.9422,0.995693195331761
