method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor
DP-SGD,42,1,True,7.0575340509414675,24.565704345703125,0.0625,0.9916219510316753,1.0,0.23544127214699984
Synthetic DP-KFC,42,1,True,8.071120119094848,30.9393310546875,0.0625,0.9916219510316753,1.0,0.0017653950813837581
Oracle KFAC,42,1,False,7.9761086225509645,30.678470611572266,0.125,0.9916219510316753,1.0,0.004255576370997005
Full Fisher Whitening (Oracle),42,1,False,6.901817107200623,23.552995681762695,0.0625,0.9916219510316753,1.0,0.015608168934704736
