method,seconds_per_batch,private_samples_per_second,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,gradient_max_abs_error,gradient_relative_l2_error,first_pass_seconds,norm_seconds,second_pass_seconds,bk_reconstruction_seconds,aggregate_transform_seconds,noise_step_seconds,bk_cache_bytes,temporary_per_sample_grad_bytes
bk,0.0371768623590469,6886.003383706822,134882304.0,239075328.0,1.0728836059570312e-06,3.821736212209238e-07,0.005472128033638,0.0131020798683166,0.0,0.0010936319828033,0.0,0.0075450880303978,64028672.0,4751360.0
bk_gd,0.0531304879114031,4818.325787387617,134855680.0,239075328.0,1.0728836059570312e-06,3.821736212209238e-07,0.004993024110794,0.0155415039062499,0.0,0.0022538239955902,0.0,0.0150937604904174,64028672.0,4751360.0
exact,0.0558751871188481,4581.640137606707,849871360.0,1272971264.0,1.0728836059570312e-06,4.3270867877179105e-07,0.0142438402175903,0.0307384319305419,0.0,0.0,0.0,0.0061399039924144,0.0,211888128.0
fast2,0.0600987157473961,4259.658410605746,701144064.0,859832320.0,3.0994415283203125e-06,7.306700011275076e-07,0.0076830718517303,0.0194426879882812,0.0048506879806518,0.0,0.0006287360042333,0.0183530884981155,64028672.0,205651968.0
ghost2,0.054700320897003,4680.045670701468,134882304.0,241172480.0,3.0994415283203125e-06,7.319246000639768e-07,0.0053421120643615,0.0574474239349365,0.0049773761034011,0.0,0.0002979839891195,0.008848319672048,64028672.0,0.0
