estimator,k,label_seed,reverse_vectors,vjp_calls,forward_calls,samples,median_build_seconds,build_median_seconds,min_build_seconds,max_build_seconds,warmup,repeats,baseline_allocated,peak_allocated_absolute,peak_allocated_increment,baseline_reserved,peak_reserved_absolute,peak_reserved_increment,synthetic_samples
Private-KFLR,9,-1,23040,90,10,2560,0.11555190291255713,0.11555190291255713,0.11436308734118938,0.11641607712954283,2,5,25405440,125004800,99599360,33554432,169869312,136314880,0
KFLR,9,-1,23040,90,10,2560,0.11477957293391228,0.11477957293391228,0.11368352547287941,0.11516194511204958,2,5,25405440,125004800,99599360,33554432,169869312,136314880,2560
KFAC-M-3,3,1,7680,30,10,2560,0.04719221871346235,0.04719221871346235,0.0471746064722538,0.04736711271107197,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-3,3,0,7680,30,10,2560,0.04719087015837431,0.04719087015837431,0.04715567361563444,0.04720769822597504,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-3,3,0,7680,30,10,2560,0.047453426755964756,0.047453426755964756,0.04741753917187452,0.05112815648317337,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-9,9,2,23040,90,10,2560,0.08399691432714462,0.08399691432714462,0.08384358137845993,0.09184587933123112,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-3,3,1,7680,30,10,2560,0.047453382052481174,0.047453382052481174,0.04741304274648428,0.04747556522488594,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-M-3,3,2,7680,30,10,2560,0.0471822265535593,0.0471822265535593,0.047144451178610325,0.05202678311616182,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-9,9,1,23040,90,10,2560,0.08333339914679527,0.08333339914679527,0.08322468120604753,0.08879540953785181,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-3,3,2,7680,30,10,2560,0.047522855922579765,0.047522855922579765,0.04748591873794794,0.047551495023071766,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-M-1,1,2,2560,10,10,2560,0.03923027031123638,0.03923027031123638,0.03746471554040909,0.03990241605788469,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-M-9,9,0,23040,90,10,2560,0.08325399830937386,0.08325399830937386,0.08315689768642187,0.08346838317811489,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-1,1,0,2560,10,10,2560,0.03745605610311031,0.03745605610311031,0.03743481356650591,0.03750015143305063,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-U-1,1,0,2560,10,10,2560,0.0387940164655447,0.0387940164655447,0.03878088854253292,0.041441808454692364,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
KFAC-M-1,1,1,2560,10,10,2560,0.03873737249523401,0.03873737249523401,0.038729951716959476,0.03876483254134655,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-U-1,1,1,2560,10,10,2560,0.04178501758724451,0.04178501758724451,0.03967491816729307,0.04295988753437996,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
KFAC-M-9,9,2,23040,90,10,2560,0.08320925384759903,0.08320925384759903,0.08314246498048306,0.08330068923532963,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-9,9,0,23040,90,10,2560,0.08411451522260904,0.08411451522260904,0.08405407890677452,0.08532361965626478,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-9,9,1,23040,90,10,2560,0.08402714133262634,0.08402714133262634,0.08378303702920675,0.08706034161150455,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFRA-block,0,-1,0,0,10,2560,0.038609446957707405,0.038609446957707405,0.038588620722293854,0.0391514552757144,2,5,25405440,120933888,95528448,33554432,178257920,144703488,2560
KFAC-U-1,1,2,2560,10,10,2560,0.037509141489863396,0.037509141489863396,0.03747671935707331,0.04037267714738846,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
