estimator,k,label_seed,layer,C_relative_error
KFAC-M-3,3,1,conv1,0.03914373740553856
KFAC-M-3,3,1,conv2,0.03330894187092781
KFAC-M-3,3,1,fc1,0.05576539412140846
KFAC-M-3,3,1,fc2,0.04512709006667137
KFAC-M-3,3,0,conv1,0.006524781230837107
KFAC-M-3,3,0,conv2,0.004438426345586777
KFAC-M-3,3,0,fc1,0.03602634742856026
KFAC-M-3,3,0,fc2,0.02403726987540722
KFAC-U-3,3,0,conv1,1.163960576057434
KFAC-U-3,3,0,conv2,1.155670166015625
KFAC-U-3,3,0,fc1,1.423126220703125
KFAC-U-3,3,0,fc2,0.2697254419326782
KFAC-U-9,9,2,conv1,1.0940107107162476
KFAC-U-9,9,2,conv2,1.0955766439437866
KFAC-U-9,9,2,fc1,1.3397668600082397
KFAC-U-9,9,2,fc2,0.2561954855918884
KFAC-U-3,3,1,conv1,1.025204062461853
KFAC-U-3,3,1,conv2,1.0341472625732422
KFAC-U-3,3,1,fc1,1.273206114768982
KFAC-U-3,3,1,fc2,0.25939828157424927
KFAC-M-3,3,2,conv1,0.04768873378634453
KFAC-M-3,3,2,conv2,0.04933860898017883
KFAC-M-3,3,2,fc1,0.04677824303507805
KFAC-M-3,3,2,fc2,0.03828534483909607
KFAC-M-9,9,1,conv1,0.017596570774912834
KFAC-M-9,9,1,conv2,0.01684579998254776
KFAC-M-9,9,1,fc1,0.03800610452890396
KFAC-M-9,9,1,fc2,0.028133438900113106
KFAC-U-3,3,2,conv1,1.127981424331665
KFAC-U-3,3,2,conv2,1.1271978616714478
KFAC-U-3,3,2,fc1,1.4331117868423462
KFAC-U-3,3,2,fc2,0.27148452401161194
KFAC-M-1,1,2,conv1,0.09254544973373413
KFAC-M-1,1,2,conv2,0.09771454334259033
KFAC-M-1,1,2,fc1,0.12010575830936432
KFAC-M-1,1,2,fc2,0.05944795906543732
KFAC-M-9,9,0,conv1,0.028584983199834824
KFAC-M-9,9,0,conv2,0.026936128735542297
KFAC-M-9,9,0,fc1,0.021476877853274345
KFAC-M-9,9,0,fc2,0.02088259346783161
KFAC-M-1,1,0,conv1,0.10463106632232666
KFAC-M-1,1,0,conv2,0.1073509231209755
KFAC-M-1,1,0,fc1,0.1057293638586998
KFAC-M-1,1,0,fc2,0.05527222529053688
KFAC-U-1,1,0,conv1,1.1336418390274048
KFAC-U-1,1,0,conv2,1.133893609046936
KFAC-U-1,1,0,fc1,1.3643370866775513
KFAC-U-1,1,0,fc2,0.27121827006340027
KFAC-M-1,1,1,conv1,0.10538531094789505
KFAC-M-1,1,1,conv2,0.09571366012096405
KFAC-M-1,1,1,fc1,0.15649345517158508
KFAC-M-1,1,1,fc2,0.08517711609601974
KFAC-U-1,1,1,conv1,0.9842250943183899
KFAC-U-1,1,1,conv2,0.9978995323181152
KFAC-U-1,1,1,fc1,1.1678062677383423
KFAC-U-1,1,1,fc2,0.23730921745300293
KFAC-M-9,9,2,conv1,0.00905834510922432
KFAC-M-9,9,2,conv2,0.0062235379591584206
KFAC-M-9,9,2,fc1,0.02357824333012104
KFAC-M-9,9,2,fc2,0.024445652961730957
KFAC-U-9,9,0,conv1,1.118302345275879
KFAC-U-9,9,0,conv2,1.1176893711090088
KFAC-U-9,9,0,fc1,1.3810518980026245
KFAC-U-9,9,0,fc2,0.2628155052661896
KFAC-U-9,9,1,conv1,1.1021572351455688
KFAC-U-9,9,1,conv2,1.09902822971344
KFAC-U-9,9,1,fc1,1.3378645181655884
KFAC-U-9,9,1,fc2,0.26173922419548035
KFAC-U-1,1,2,conv1,1.3287099599838257
KFAC-U-1,1,2,conv2,1.3466917276382446
KFAC-U-1,1,2,fc1,1.6489641666412354
KFAC-U-1,1,2,fc2,0.2965555191040039
