estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFLR,-1,conv1,1533.326051945262,1.3984070985809254,10,10,16,16,1e-07
KFLR,-1,conv2,59814404738.80034,5.743695913678637,145,145,15,32,1e-07
KFLR,-1,fc1,100000000000000.0,6.071496872152286,315,1569,111,128,1e-07
KFLR,-1,fc2,100000000000000.0,6.461719269655961,109,129,9,10,1e-07
KFAC-M-3,1,conv1,1534.307189206428,1.398519592509456,10,10,16,16,1e-07
KFAC-M-3,1,conv2,59814404738.80033,5.741042347322879,145,145,15,32,1e-07
KFAC-M-3,1,fc1,100000000000000.0,6.067995402323086,315,1569,111,128,1e-07
KFAC-M-3,1,fc2,100000000000000.0,6.466559545621568,109,129,9,10,1e-07
KFAC-M-3,0,conv1,1533.3198819767183,1.3984106664932738,10,10,16,16,1e-07
KFAC-M-3,0,conv2,59814404738.80034,5.743537030464405,145,145,15,32,1e-07
KFAC-M-3,0,fc1,100000000000000.0,6.0634080419587315,315,1569,111,128,1e-07
KFAC-M-3,0,fc2,100000000000000.0,6.458599966171885,109,129,9,10,1e-07
KFAC-U-3,0,conv1,1502.702995282312,1.395071277252248,10,10,16,16,1e-07
KFAC-U-3,0,conv2,59814404738.80033,5.827654311403658,145,145,15,32,1e-07
KFAC-U-3,0,fc1,100000000000000.0,6.045071749402974,315,1569,111,128,1e-07
KFAC-U-3,0,fc2,100000000000000.0,6.406977158068852,109,129,9,10,1e-07
KFAC-U-9,2,conv1,1504.6899861261168,1.3952651636652753,10,10,16,16,1e-07
KFAC-U-9,2,conv2,59814404738.80033,5.823692832944358,145,145,15,32,1e-07
KFAC-U-9,2,fc1,100000000000000.02,6.045786668858465,315,1569,111,128,1e-07
KFAC-U-9,2,fc2,100000000000000.0,6.405702825486488,109,129,9,10,1e-07
KFAC-U-3,1,conv1,1506.326233245831,1.3954675456967303,10,10,16,16,1e-07
KFAC-U-3,1,conv2,59814404738.80033,5.81986902070037,145,145,15,32,1e-07
KFAC-U-3,1,fc1,100000000000000.0,6.046353189239002,315,1569,111,128,1e-07
KFAC-U-3,1,fc2,100000000000000.0,6.4092312799708555,109,129,9,10,1e-07
KFAC-M-3,2,conv1,1534.5011382524171,1.3985422146171704,10,10,16,16,1e-07
KFAC-M-3,2,conv2,59814404738.80033,5.739476864462563,145,145,15,32,1e-07
KFAC-M-3,2,fc1,100000000000000.0,6.067986245474634,315,1569,111,128,1e-07
