p,count,mean,std
0.0,2,0.93055,0.0026162950903902515
0.25,2,0.9436500000000001,0.002050609665440958
0.5,2,0.9348000000000001,0.00042426406871192107
0.75,2,0.9218,0.003676955262170074
1.0,2,0.9063,0.00028284271247458785
