method,seed,epoch,tau,preconditioner_batches,synthetic_samples,noise_multiplier,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,operator_dof,log_scale_rmse,log_scale_pearson,log_scale_spearman,correlation_defined,gain_geomean,log10_gain_range,gain_min,gain_p1,gain_p10,gain_median,gain_p90,gain_p99,gain_max,mean_final_accuracy,std_final_accuracy
DP-SGD,42,1,1.0,10,2560,0.0,0.181640625,2.2781755924224854,2.299808144569397,inf,1.0,0.2085670456290245,0.8105665040202439,1.0459673830773681,1.856533887097612,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.181640625,
Full-Fisher Equil,42,1,1.0,10,2560,0.0,0.2109375,2.279086709022522,2.2995671033859253,inf,1.0,0.31715908646583557,0.30042275809682906,0.07466471195220947,0.37508747004903853,206921,0.0,0.9999999999999999,1.0,True,1.000000000495229,1.3085416293185477,0.07746227085590363,0.34930381205596556,0.5302730798713776,1.1145936846731166,1.5762745141983032,1.5762745141983032,1.5762745141983032,0.2109375,
Module-Elementwise Equil,42,1,1.0,10,2560,0.0,0.2109375,2.2785427570343018,2.29971182346344,inf,1.0,0.3039707541465759,0.3308577861171216,0.07217209506779909,0.40302988118492067,206921,0.0,1.0,1.0,True,1.0000000030450578,1.0550439761215944,0.1386072337627411,0.3501317244371811,0.531485050916604,1.1125354170769732,1.573366403579712,1.573366403579712,1.573366403579712,0.2109375,
Factorized Equil,42,1,1.0,10,2560,0.0,0.203125,2.2780603170394897,2.2994920015335083,inf,1.0,0.3020504266023636,0.3224614840000868,0.07216564915142953,0.3946271331515163,2034,0.15594654585156004,0.9296632505569998,0.9454976144136819,True,1.0000000000007814,1.2297341623463716,0.14585937559604645,0.4370371692463435,0.5957004785512986,1.0043452978133873,1.7050539255142212,2.3841564624785994,2.475531816482544,0.203125,
Layer-Scalar Equil,42,1,1.0,10,2560,0.0,0.185546875,2.277988910675049,2.2997571229934692,inf,1.0,0.21156096458435059,0.3631052179262042,0.07151783281005919,0.4346230507362634,3,0.4228404268293411,0.04636700768427599,0.013663327735332718,True,1.0000000098680133,0.22230618676750785,0.8145674467086792,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659,1.0484517812728882,1.3590431213378906,0.185546875,
