estimator,k,label_seed,layer,C_relative_error
KFAC-M-3,3,1,conv1,0.009173036552965641
KFAC-M-3,3,1,conv2,0.01022416353225708
KFAC-M-3,3,1,fc1,0.04373316839337349
KFAC-M-3,3,1,fc2,0.03549421951174736
KFAC-M-3,3,0,conv1,0.004356803838163614
KFAC-M-3,3,0,conv2,0.0022710722405463457
KFAC-M-3,3,0,fc1,0.04058115929365158
KFAC-M-3,3,0,fc2,0.030245067551732063
KFAC-U-3,3,0,conv1,2.0212676525115967
KFAC-U-3,3,0,conv2,1.8867154121398926
KFAC-U-3,3,0,fc1,2.2042007446289062
KFAC-U-3,3,0,fc2,1.3998605012893677
KFAC-U-9,9,2,conv1,2.026265859603882
KFAC-U-9,9,2,conv2,1.8795559406280518
KFAC-U-9,9,2,fc1,2.1895573139190674
KFAC-U-9,9,2,fc2,1.3968887329101562
KFAC-U-3,3,1,conv1,1.987517237663269
KFAC-U-3,3,1,conv2,1.848863959312439
KFAC-U-3,3,1,fc1,2.1655569076538086
KFAC-U-3,3,1,fc2,1.3902053833007812
KFAC-M-3,3,2,conv1,0.004436730407178402
KFAC-M-3,3,2,conv2,0.0019924959633499384
KFAC-M-3,3,2,fc1,0.0426439568400383
KFAC-M-3,3,2,fc2,0.030308576300740242
KFAC-M-9,9,1,conv1,0.010639202781021595
KFAC-M-9,9,1,conv2,0.011920779943466187
KFAC-M-9,9,1,fc1,0.02753557451069355
KFAC-M-9,9,1,fc2,0.023724757134914398
KFAC-U-3,3,2,conv1,2.062868595123291
KFAC-U-3,3,2,conv2,1.908349871635437
KFAC-U-3,3,2,fc1,2.2467844486236572
KFAC-U-3,3,2,fc2,1.4099063873291016
KFAC-M-1,1,2,conv1,0.03136438876390457
KFAC-M-1,1,2,conv2,0.0299379862844944
KFAC-M-1,1,2,fc1,0.07998717576265335
KFAC-M-1,1,2,fc2,0.05379338935017586
KFAC-M-9,9,0,conv1,0.0029327310621738434
KFAC-M-9,9,0,conv2,0.0020477622747421265
KFAC-M-9,9,0,fc1,0.02502022497355938
KFAC-M-9,9,0,fc2,0.019407181069254875
KFAC-M-1,1,0,conv1,0.011085497215390205
KFAC-M-1,1,0,conv2,0.01019003614783287
KFAC-M-1,1,0,fc1,0.08221399039030075
KFAC-M-1,1,0,fc2,0.06613864004611969
KFAC-U-1,1,0,conv1,2.0397520065307617
KFAC-U-1,1,0,conv2,1.8877023458480835
KFAC-U-1,1,0,fc1,2.233494520187378
KFAC-U-1,1,0,fc2,1.420628547668457
KFAC-M-1,1,1,conv1,0.018441518768668175
KFAC-M-1,1,1,conv2,0.020552581176161766
KFAC-M-1,1,1,fc1,0.07460144907236099
KFAC-M-1,1,1,fc2,0.06309045851230621
KFAC-U-1,1,1,conv1,2.0227527618408203
KFAC-U-1,1,1,conv2,1.8725109100341797
KFAC-U-1,1,1,fc1,2.193186044692993
KFAC-U-1,1,1,fc2,1.395592212677002
KFAC-M-9,9,2,conv1,0.0036522289738059044
KFAC-M-9,9,2,conv2,0.002225752454251051
KFAC-M-9,9,2,fc1,0.029188238084316254
KFAC-M-9,9,2,fc2,0.023804157972335815
KFAC-U-9,9,0,conv1,2.0165305137634277
KFAC-U-9,9,0,conv2,1.8691959381103516
KFAC-U-9,9,0,fc1,2.201258420944214
KFAC-U-9,9,0,fc2,1.3947663307189941
KFAC-U-9,9,1,conv1,2.0249276161193848
KFAC-U-9,9,1,conv2,1.8674558401107788
KFAC-U-9,9,1,fc1,2.20363450050354
KFAC-U-9,9,1,fc2,1.3935953378677368
KFAC-U-1,1,2,conv1,2.1104674339294434
KFAC-U-1,1,2,conv2,1.9615968465805054
KFAC-U-1,1,2,fc1,2.2640769481658936
KFAC-U-1,1,2,fc2,1.4294123649597168
