estimator,label_seed,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine,C_relative_error_vs_KFLR
KFLR,-1,conv1,2.7025909090613274,0.78933135431504,0.8626952056098109,12.500440225351207,0.9387271484473981,0.0
KFLR,-1,conv2,12.492882455058155,0.4672047421078044,0.8893219725469068,15.850055752978491,0.9760431435101822,0.0
KFLR,-1,fc1,8.212118425247557,0.9422208535561508,0.35630867044672815,16.940231403685925,0.5817110904574871,0.0
KFLR,-1,fc2,3.9644862716071128,0.8965132647255907,0.5024429383818367,15.235139798079391,0.776316731674687,0.0
KFAC-M-3,1,conv1,2.730415024611615,0.78933135431504,0.8626952056098109,12.609596448035045,0.9381725839541714,0.009173036552965641
KFAC-M-3,1,conv2,12.627616603884428,0.4672047421078044,0.8893219725469068,16.019958482846878,0.9760240928260296,0.01022416353225708
KFAC-M-3,1,fc1,8.370482299557437,0.9422208535561508,0.35630867044672815,17.27494973001584,0.5770584137880327,0.04373316839337349
KFAC-M-3,1,fc2,4.012663818593173,0.8965132647255907,0.5024429383818367,15.422013329407218,0.7767726178273886,0.03549421951174736
KFAC-M-3,0,conv1,2.697429911847963,0.78933135431504,0.8626952056098109,12.477755885561871,0.9380969763653949,0.004356803838163614
KFAC-M-3,0,conv2,12.515068734006482,0.4672047421078044,0.8893219725469068,15.878057308148385,0.9762151542475717,0.0022710722405463457
KFAC-M-3,0,fc1,8.249851935184177,0.9422208535561508,0.35630867044672815,17.019166633177825,0.583669658345486,0.04058115929365158
KFAC-M-3,0,fc2,3.9551743988030053,0.8965132647255907,0.5024429383818367,15.202469957030132,0.77958086126111,0.030245067551732063
KFAC-U-3,0,conv1,9.618403427010698,0.78933135431504,0.8626952056098109,39.63587314356191,0.943010474978335,2.0212676525115967
KFAC-U-3,0,conv2,37.664605212258095,0.4672047421078044,0.8893219725469068,47.577569760065686,0.9718198763159117,1.8867154121398926
KFAC-U-3,0,fc1,25.63162149365515,0.9422208535561508,0.35630867044672815,53.49617620789275,0.5018057750510913,2.2042007446289062
KFAC-U-3,0,fc2,9.516766296345386,0.8965132647255907,0.5024429383818367,36.39261125424286,0.7817097741512464,1.3998605012893677
KFAC-U-9,2,conv1,9.634500345184762,0.78933135431504,0.8626952056098109,39.70052774611401,0.9437059519788836,2.026265859603882
KFAC-U-9,2,conv2,37.56593220914544,0.4672047421078044,0.8893219725469068,47.45315619217399,0.9713522953920168,1.8795559406280518
KFAC-U-9,2,fc1,25.479704508015576,0.9422208535561508,0.35630867044672815,53.17817950224711,0.5009751477396351,2.1895573139190674
KFAC-U-9,2,fc2,9.494389544596896,0.8965132647255907,0.5024429383818367,36.31456904823856,0.7887103505428247,1.3968887329101562
KFAC-U-3,1,conv1,9.501198374816154,0.78933135431504,0.8626952056098109,39.180404523832095,0.9437834371277979,1.987517237663269
KFAC-U-3,1,conv2,37.158194274149736,0.4672047421078044,0.8893219725469068,46.93932851726493,0.9716131774263166,1.848863959312439
