method,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,operator_state_bytes,stored_scalar_count,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,rebuild_count,rebuilt,state_metric_forward_calls,beta,total_preconditioner_build_seconds,total_private_train_seconds,total_evaluation_seconds,total_algorithm_seconds,peak_cuda_allocated_bytes,total_builder_forward_calls,total_builder_vjp_calls,total_builder_reverse_vectors
diag,42,0,0.5,2.2227861881256104,2.322970151901245,,0.0,1.0,0.0020580566488206387,486.70489501953125,540.84423828125,552.4783935546875,0.3358626337721944,0.07634121552109718,1.1672265827655792e-05,1.159869134426117e-05,0.0024866750463843346,0.41220384929329157,0.4147137952968478,0.07634121552109718,52.396336273877964,11512832,13444608,13444608,1,4,0,594.0885876363869,56729.6640281301,9.771910955684442,24.37393254352664,238.1798984552015,8164,2040,1,1,4,4,1,1,0,0.25,0.3358626337721944,0.07634121552109718,0.0024866750463843346,0.41220384929329157,13444608,1,1,4
a_only,42,0,0.5,2.207399845123291,2.322970151901245,,0.0,1.0,0.03937695175409317,25.13597297668457,28.312246322631836,28.923355102539062,0.21467273589223623,0.02260522171854973,9.454786777496338e-06,1.017749309539795e-05,0.0020547835156321526,0.23727795761078596,0.239352373406291,0.02260522171854973,176.95026617313027,169027584,23432704,169027584,1,4,0,2211.228585510348,4567.042284984935,1.4371453575071271,47.02370237986741,67.57989556802329,9998116,2499528,1,1,4,4,1,1,0,0.25,0.21467273589223623,0.02260522171854973,0.0020547835156321526,0.23727795761078596,169027584,1,1,4
c_only,42,0,0.5,2.227736473083496,2.322970151901245,,0.0,1.0,0.020065367221832275,49.96764373779297,58.8916015625,61.744964599609375,0.013702900148928165,0.014734826050698757,8.114613592624664e-06,9.498558938503265e-06,0.0019111763685941696,0.028437726199626923,0.03036651574075222,0.014734826050698757,271.46570894267944,11259904,13504512,13504512,1,4,0,1536.4143063358263,6669.102474036889,2.0834329295234553,39.197121148571945,81.66457294345503,71064,17765,1,1,4,4,1,1,0,0.25,0.013702900148928165,0.014734826050698757,0.0019111763685941696,0.028437726199626923,13504512,1,1,4
fullA_diagC,42,0,0.5,2.2075490951538086,2.322970151901245,,0.0,1.0,0.004706623964011669,211.46197509765625,230.49378967285156,232.80140686035156,0.11567550897598267,0.008791538886725903,6.2622129917144775e-06,6.016343832015991e-06,0.0011739563196897507,0.12446704786270857,0.12565328273922205,0.008791538886725903,454.98291613536367,169031680,23434752,169031680,1,4,0,37.265786362819384,268.5240189084519,2.684333209223083,6.1045709401086805,16.386702502591906,9998860,2499714,1,1,4,4,1,1,0,0.25,0.11567550897598267,0.008791538886725903,0.0011739563196897507,0.12446704786270857,169031680,1,1,4
diagA_fullC,42,0,0.5,2.226369857788086,2.322970151901245,,0.0,1.0,0.003570336615666747,285.3207092285156,332.6367492675781,346.9154052734375,0.01114946510642767,0.008837118744850159,5.5031850934028625e-06,5.436129868030548e-06,0.0011783977970480919,0.019986583851277828,0.021175920963287354,0.008837118744850159,452.6362172434318,11513344,13513728,13513728,1,4,0,173.77531360621555,4493.2800911824015,5.084961923485707,13.182386491307845,67.03193336897274,78476,19618,1,1,4,4,1,1,0,0.25,0.01114946510642767,0.008837118744850159,0.0011783977970480919,0.019986583851277828,13513728,1,1,4
rank4,42,0,0.5,2.2131094932556152,2.322970151901245,,0.0,1.0,0.00537728238850832,190.73529052734375,213.65476989746094,221.99594116210938,0.02266178373247385,0.010727832093834877,5.154870450496674e-06,5.62518835067749e-06,0.001219816505908966,0.03338961582630873,0.03462021239101887,0.010727832093834877,372.8619132936224,12898304,15078912,15078912,1,4,0,12.67567791950586,58.392751449459944,2.1463170325496637,3.560291830665832,7.6415149970054985,32824,8197,2,2,8,4,1,1,0,0.25,0.02266178373247385,0.010727832093834877,0.001219816505908966,0.03338961582630873,15078912,2,2,8
rank8,42,0,0.5,2.213768482208252,2.322970151901245,,0.0,1.0,0.005399323999881744,189.98643493652344,212.8388671875,221.17103576660156,0.014401298016309738,0.010385421104729176,5.775131285190582e-06,5.0924718379974365e-06,0.0011319546028971672,0.024786719121038914,0.02592954132705927,0.010385421104729176,385.1553018084681,12908544,15111168,15111168,1,4,0,12.659496969968547,57.93163813206239,2.1391915776068777,3.558018686006096,7.6112836060721305,65576,16385,2,2,8,4,1,1,0,0.25,0.014401298016309738,0.010385421104729176,0.0011319546028971672,0.024786719121038914,15111168,2,2,8
rank16,42,0,0.5,2.2140603065490723,2.322970151901245,,0.0,1.0,0.00543313380330801,188.84307861328125,211.58685302734375,219.8961639404297,0.013657191768288612,0.00990054477006197,5.593523383140564e-06,5.336478352546692e-06,0.0011238781735301018,0.023557736538350582,0.02469254471361637,0.00990054477006197,404.01817201973654,12928000,15174144,15174144,1,4,0,12.648272847774118,57.302533253226066,2.128488451264073,3.556441036735196,7.569843674292493,130384,32590,2,2,8,4,1,1,0,0.25,0.013657191768288612,0.00990054477006197,0.0011238781735301018,0.023557736538350582,15174144,2,2,8
refresh2,42,0,0.5,2.214143753051758,2.322970151901245,,0.0,1.0,0.005563418380916119,184.4903564453125,206.64285278320312,214.74331665039062,0.14179900288581848,0.008835588581860065,5.345791578292847e-06,5.490146577358246e-06,0.0011582821607589722,0.15063459146767855,0.15180370956659317,0.008835588581860065,452.71460559087296,159257088,23503872,159257088,1,4,0,12.633931205216186,54.68227735459311,2.0804344794523937,3.5544241735077406,7.394746605164581,10069172,2517292,1,1,4,4,1,1,0,0.25,0.14179900288581848,0.008835588581860065,0.0011582821607589722,0.15063459146767855,159257088,1,1,4
frozen,42,0,0.5,2.214143753051758,2.322970151901245,,0.0,1.0,0.005563418380916119,184.4903564453125,206.64285278320312,214.74331665039062,0.12341723125427961,0.00948512926697731,5.55720180273056e-06,5.359761416912079e-06,0.0011637024581432343,0.13290236052125692,0.1340769799426198,0.00948512926697731,421.71275555791203,159257088,23503872,159257088,1,4,0,12.633931205216186,54.68227735459311,2.0804344794523937,3.5544241735077406,7.394746605164581,10069172,2517292,1,1,4,4,1,1,0,0.25,0.12341723125427961,0.00948512926697731,0.0011637024581432343,0.13290236052125692,159257088,1,1,4
