epoch,private_step,layer,side,dimension,q,operator_matrix_cosine,operator_condition_F,operator_condition_H,operator_action_cosine_mean,operator_action_cosine_std
1,0,conv1,A,10,0.25,0.9728637927233502,2.247321767219921,1.0242039151751916,0.9750075799649257,0.01038440988800527
1,0,conv1,A,10,0.5,0.9199495688934523,5.05045512542048,1.0489936598601923,0.9230662210382738,0.031606528657638716
1,0,conv1,G,2,0.25,0.9016766356380685,1.0008499327145053,2.8465233994911743,0.9615646939406934,0.03775622879613378
1,0,conv1,G,2,0.5,0.7888798985788171,1.001700587814629,8.10269546385079,0.8582317958837817,0.14868698796628135
1,0,conv2,A,19,0.25,0.9644390197177534,4.101034048923366,1.309721811747904,0.9632962343987788,0.01675121628860245
1,0,conv2,A,19,0.5,0.9100414920177105,16.818480270428868,1.7153712241682106,0.9067480917950875,0.040609610904593245
1,0,conv2,G,2,0.25,0.9784130720288773,1.0015828799261968,1.5336365797666094,0.9857736178912226,0.008193869588149981
1,0,conv2,G,2,0.5,0.9269733284302014,1.0031682653612548,2.3520411587982233,0.9477101205251722,0.030882089746239728
1,0,fc1,A,99,0.25,0.9673871910584899,7.2540783793213315,1.6076599060116126,0.9662252947416798,0.008991300689687969
1,0,fc1,A,99,0.5,0.9273850596053439,52.62165313333698,2.584570373397262,0.9241505625061421,0.022786508756710372
1,0,fc1,G,8,0.25,0.8342454282606206,2.752679005517834,2.2872297234069014,0.8643118478314953,0.07925944160854881
1,0,fc1,G,8,0.5,0.5095004988291201,7.577241707418631,5.231419807635997,0.5980948928306923,0.19104815401596947
1,0,fc2,A,9,0.25,0.9599572560952246,5.65255223951922,1.031457999146964,0.9610326026548575,0.041311493572078736
1,0,fc2,A,9,0.5,0.9334930649495072,31.95134682049362,1.063905604004259,0.9337167885760284,0.0619736720851628
1,0,fc2,G,10,0.25,0.8006484327421272,3.768670592140769,1.750136329825106,0.8352560259558682,0.06349840981921544
1,0,fc2,G,10,0.5,0.46166875157453774,14.202878032066675,3.062977172973697,0.5392254879831512,0.13703916787396678
2,2,conv1,A,10,0.25,0.9712485913240325,2.327206881029967,1.0246115418093538,0.9734224962277238,0.011237422912884968
2,2,conv1,A,10,0.5,0.9160761667249167,5.415891867113223,1.0498288116089416,0.917950635227158,0.037279943117004846
2,2,conv1,G,2,0.25,0.9759709417848169,1.1616211553390052,1.3431125562798316,0.9877817808096984,0.008331031487177076
2,2,conv1,G,2,0.5,0.9105737448465804,1.3493637085311248,1.8039513388365431,0.9513994667939358,0.03194595582258547
2,2,conv2,A,19,0.25,0.9903503616152847,2.362552022278619,1.2872009625048202,0.9901841390862485,0.003360732091619788
2,2,conv2,A,19,0.5,0.9699429991416021,5.581652057972803,1.6568863178733355,0.968455453557934,0.009731276256700505
2,2,conv2,G,2,0.25,0.9910991084005578,1.3039929083186397,1.0050672392981415,0.9957417258031929,0.0027659005383523848
2,2,conv2,G,2,0.5,0.9667864645497876,1.7003975049453046,1.0101601555103874,0.9840753534726314,0.010274680769306129
2,2,fc1,A,99,0.25,0.9124234611034109,20.389673614319342,3.1030471880891035,0.9127899419990487,0.02319000219687345
2,2,fc1,A,99,0.5,0.8814657741911671,415.7387900984637,9.628901851507706,0.8820561277447894,0.03224182025333798
2,2,fc1,G,8,0.25,0.724166870378974,7.298303192133461,2.2182389551953614,0.7564113584595658,0.07615570633878582
2,2,fc1,G,8,0.5,0.43246329387286775,53.26522948430557,4.920584062346213,0.4504947890454891,0.1643429404707493
2,2,fc2,A,9,0.25,0.7286926492304523,23.767749498229197,2.890300421624462,0.7583758270223991,0.07165194888143842
2,2,fc2,A,9,0.5,0.6058192266987752,564.9059162105721,8.35383652724255,0.6027011213008355,0.15937916461147858
2,2,fc2,G,10,0.25,0.7890275918670114,5.121926711874365,1.78108276859314,0.8314374219299594,0.06708777539707714
2,2,fc2,G,10,0.5,0.49400970288668394,26.23413324181207,3.1722558285794045,0.5475049414833051,0.15118456786909865
