method,mean_accuracy,std_accuracy,mean_clipping,mean_clip_factor,mean_precond_seconds,mean_epoch_train_seconds
DP-SGD,0.9167000000000001,0.009475230867899753,0.16975,0.8467729928334554,0.004692011326551437,11.749653366394341
Full-Fisher Equil,0.9248000000000001,0.011596551211459399,0.16430833333333333,0.855427373123169,0.09080187007784843,12.831311350036412
KFAC-Diag,0.92145,0.0010606601717798615,0.17593333333333333,0.8428902779261271,0.2191633375361562,15.436708608083427
KFAC-Equil,0.9031,0.0033941125496954076,0.22731666666666667,0.7936294176737468,0.22108324188739062,15.365642014984042
KFAC-Full-GM,0.9277500000000001,0.005020458146424523,0.14485,0.8771318056106567,0.34436945328488944,15.419638661574572
KFAC-Full-Raw,0.9326,0.005656854249492385,0.160725,0.8522247956593831,0.34458809001371266,15.506722929608078
