method,seed,epoch,operator_geomean_before_norm,gain_min,gain_p10,gain_median,gain_p90,gain_max
DP-SGD,42,1,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,2,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,3,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,4,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,5,1.0,1.0,1.0,1.0,1.0,1.0
Full-Fisher Equil,42,1,37.838623046875,0.10000000149011612,0.27905574440956116,0.7693952322006226,7.732468605041504,7.732468605041504
Full-Fisher Equil,42,2,1.8303470611572266,0.10000000149011612,0.4109947383403778,0.8512789011001587,3.67549729347229,8.555278778076172
Full-Fisher Equil,42,3,1.2203404903411865,0.10000000149011612,0.4018276035785675,0.8763585090637207,3.151301622390747,8.80735969543457
Full-Fisher Equil,42,4,1.103061556816101,0.10000000149011612,0.3838438391685486,0.8913912773132324,3.334725856781006,8.958467483520508
Full-Fisher Equil,42,5,0.8965909481048584,0.10000000149011612,0.4165176451206207,0.8695252537727356,3.0125770568847656,8.73867416381836
KFAC-Diag,42,1,198.37735010922842,0.016213882714509964,0.35680660605430603,0.9934095144271851,2.9351024627685547,5.040897846221924
KFAC-Diag,42,2,16.42882691368458,0.009900184348225594,0.3477703630924225,0.8195369243621826,3.9392623901367188,58.77018356323242
KFAC-Diag,42,3,10.641923414842438,0.008509024046361446,0.3310331106185913,0.8569118976593018,3.941237211227417,46.33003616333008
KFAC-Diag,42,4,9.347910356616822,0.013668537139892578,0.3621072769165039,0.8677223324775696,3.550804376602173,55.94929504394531
KFAC-Diag,42,5,9.24481048531944,0.01274864748120308,0.35544243454933167,0.9042924642562866,3.4205901622772217,58.15300750732422
KFAC-Equil,42,1,32.83645125300401,0.08560603857040405,0.34371092915534973,0.832617998123169,3.9658796787261963,30.453962326049805
KFAC-Equil,42,2,1.840868940992825,0.04850216582417488,0.39454710483551025,0.7814266085624695,3.2224950790405273,380.4571838378906
KFAC-Equil,42,3,1.169785681130226,0.06171666458249092,0.374671071767807,0.8268193602561951,3.5661168098449707,79.29337310791016
KFAC-Equil,42,4,1.031964831724435,0.047323647886514664,0.3780067563056946,0.8385360240936279,3.520258903503418,93.94654846191406
KFAC-Equil,42,5,1.130039480880756,0.05627182871103287,0.38652071356773376,0.822907567024231,3.7888941764831543,114.03945922851562
KFAC-Full-GM,42,1,611.5497427046713,0.05165981128811836,0.7903343439102173,0.9918622970581055,1.3434830904006958,1.6351897716522217
KFAC-Full-GM,42,2,288.4461177049937,0.06284675002098083,0.618836522102356,0.9835910797119141,1.701635479927063,3.456827163696289
KFAC-Full-GM,42,3,201.92069660272406,0.05451488122344017,0.5778493285179138,1.0055947303771973,1.7772728204727173,4.777859210968018
KFAC-Full-GM,42,4,157.57761304070567,0.04902808740735054,0.6125423312187195,0.9941805601119995,1.715272068977356,6.112020492553711
KFAC-Full-GM,42,5,128.25418175422112,0.05239389091730118,0.5981980562210083,0.9842836856842041,1.7695153951644897,7.346385478973389
KFAC-Full-Raw,42,1,611.5497427046713,31.592544555664062,483.3287353515625,606.5731201171875,821.606689453125,999.9999389648438
KFAC-Full-Raw,42,2,249.1734500621719,13.778037071228027,146.66326904296875,245.25811767578125,450.0195007324219,998.39892578125
KFAC-Full-Raw,42,3,162.01322629996758,8.12903118133545,89.221435546875,161.462158203125,307.5287170410156,957.725830078125
KFAC-Full-Raw,42,4,124.04905617480061,5.732593059539795,73.048095703125,123.59825134277344,221.16087341308594,958.5926513671875
KFAC-Full-Raw,42,5,100.88506662512908,4.985846996307373,59.10228729248047,99.39019012451172,180.88893127441406,938.99658203125
DP-SGD,7,1,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,2,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,3,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,4,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,7,5,1.0,1.0,1.0,1.0,1.0,1.0
Full-Fisher Equil,7,1,32.66259765625,0.10000000149011612,0.23526322841644287,0.6981706619262695,7.0167646408081055,7.0167646408081055
Full-Fisher Equil,7,2,2.1965088844299316,0.10000000149011612,0.38584649562835693,0.850816011428833,3.6210179328918457,8.550676345825195
Full-Fisher Equil,7,3,1.4472639560699463,0.10000000149011612,0.4429739713668823,0.8448061943054199,3.1182870864868164,8.490233421325684
Full-Fisher Equil,7,4,1.0752882957458496,0.10000000149011612,0.4350528419017792,0.844268262386322,2.9871513843536377,8.484810829162598
