method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,precond_seconds,epoch_train_seconds
DP-SGD,42,1,True,0.8470096117973328,0.6440458506464958,0.8957,0.7863366347932901,0.4691166666666667,0.5958376480420431,0.04135626833885908,10.788056567311287
DP-SGD,42,2,True,0.7052698392868042,0.6248932632267475,0.913,0.8389556633778256,0.2582,0.7742742698669434,0.0004951134324073792,10.198392611928284
DP-SGD,42,3,True,0.7255567707061767,0.6820139516830445,0.9097,0.891574691962361,0.21731666666666666,0.8076062019348145,0.00044761598110198975,10.23349194508046
DP-SGD,42,4,True,0.7850442505836487,0.7042917244076728,0.9163,0.9441937205468965,0.19665,0.824036981455485,0.0004448816180229187,10.215000833384693
DP-SGD,42,5,True,0.7375171625773111,0.6951909170484287,0.9234,0.9968127491314319,0.16746666666666668,0.849704928334554,0.00044177938252687454,10.186672252602875
Full-Fisher Equil,42,1,True,0.9126631334940593,0.5884625768184661,0.8936,0.7863366347932901,0.6370333333333333,0.43063449540138243,0.0993834650143981,10.337799198925495
Full-Fisher Equil,42,2,True,0.5756645109176636,0.5495507124423981,0.9097,0.8389556633778256,0.26511666666666667,0.7775122823079427,0.07846694812178612,11.33662286400795
Full-Fisher Equil,42,3,True,0.5810525390625,0.5677769085407257,0.9109,0.891574691962361,0.22185,0.8106824494679769,0.09189038071781397,13.310179520398378
Full-Fisher Equil,42,4,True,0.6097120451609294,0.5580642026543617,0.9214,0.9441937205468965,0.20005,0.826151144917806,0.09140724409371614,13.255501451902092
Full-Fisher Equil,42,5,True,0.6130466356277465,0.6438275313466787,0.9166,0.9968127491314319,0.17818333333333333,0.8434055564880371,0.09053299203515053,13.154276128858328
KFAC-Diag,42,1,True,0.8079133949597677,0.5362374851942062,0.8995,0.7863366347932901,0.5455166666666666,0.5419746920585632,0.23130563274025917,15.428041721694171
KFAC-Diag,42,2,True,0.6423823292414347,0.6376877054214477,0.9111,0.8389556633778256,0.2554,0.7796112008412679,0.21533419098705053,15.39331943821162
