estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFLR,-1,conv1,420.86235468524734,1.3022023706940005,10,10,16,16,1e-07
KFLR,-1,conv2,792866344425.1143,6.483056795865152,145,145,18,32,1e-07
KFLR,-1,fc1,100000000000000.0,6.750900234482388,484,1569,98,128,1e-07
KFLR,-1,fc2,400350574697.8379,5.829778542033606,100,129,10,10,1e-07
KFAC-M-3,1,conv1,419.9886546440222,1.301786349327201,10,10,16,16,1e-07
KFAC-M-3,1,conv2,792866344425.1144,6.483935186447662,145,145,18,32,1e-07
KFAC-M-3,1,fc1,100000000000000.0,6.751307782897675,484,1569,98,128,1e-07
KFAC-M-3,1,fc2,410628184978.8734,5.829119009396795,100,129,10,10,1e-07
KFAC-M-3,0,conv1,422.05413049920844,1.302865476210639,10,10,16,16,1e-07
KFAC-M-3,0,conv2,792866344425.1143,6.482365811199083,145,145,18,32,1e-07
KFAC-M-3,0,fc1,100000000000000.0,6.748737209237641,484,1569,98,128,1e-07
KFAC-M-3,0,fc2,407590707846.62067,5.831744654020728,100,129,10,10,1e-07
KFAC-U-3,0,conv1,283.8415624671024,1.2198889015892813,10,10,16,16,1e-07
KFAC-U-3,0,conv2,792866344425.1143,6.523328626224563,145,145,18,32,1e-07
KFAC-U-3,0,fc1,100000000000000.0,6.725535091288745,484,1569,98,128,1e-07
KFAC-U-3,0,fc2,254209684895.34924,5.722341899594109,100,129,10,10,1e-07
KFAC-U-9,2,conv1,283.51001523226466,1.2201961319186336,10,10,16,16,1e-07
KFAC-U-9,2,conv2,792866344425.1143,6.523808054432833,145,145,18,32,1e-07
KFAC-U-9,2,fc1,100000000000000.0,6.721132854032398,484,1569,98,128,1e-07
KFAC-U-9,2,fc2,255824381192.12378,5.721332770702736,100,129,10,10,1e-07
KFAC-U-3,1,conv1,285.339023785571,1.221629429870711,10,10,16,16,1e-07
KFAC-U-3,1,conv2,792866344425.1143,6.5246003829151045,145,145,18,32,1e-07
KFAC-U-3,1,fc1,100000000000000.0,6.722802617542358,484,1569,98,128,1e-07
KFAC-U-3,1,fc2,249922469492.73438,5.720922990130674,100,129,10,10,1e-07
KFAC-M-3,2,conv1,422.60061361419633,1.3028949915442123,10,10,16,16,1e-07
KFAC-M-3,2,conv2,792866344425.1143,6.48120524287218,145,145,18,32,1e-07
KFAC-M-3,2,fc1,100000000000000.0,6.746529663734305,484,1569,98,128,1e-07
KFAC-M-3,2,fc2,408231609536.7801,5.830901546319689,100,129,10,10,1e-07
KFAC-M-9,1,conv1,420.79389868309323,1.3020222274327709,10,10,16,16,1e-07
KFAC-M-9,1,conv2,792866344425.1143,6.482731406962074,145,145,18,32,1e-07
KFAC-M-9,1,fc1,100000000000000.0,6.745717023939306,484,1569,98,128,1e-07
KFAC-M-9,1,fc2,401560916060.212,5.828198594944451,100,129,10,10,1e-07
KFAC-U-3,2,conv1,280.6285304742526,1.218312352092096,10,10,16,16,1e-07
KFAC-U-3,2,conv2,792866344425.1143,6.522371836469704,145,145,18,32,1e-07
KFAC-U-3,2,fc1,100000000000000.0,6.718584632107999,484,1569,98,128,1e-07
KFAC-U-3,2,fc2,259214586291.20392,5.720499352614692,100,129,10,10,1e-07
KFAC-M-1,2,conv1,421.6836945384269,1.3027605641273345,10,10,16,16,1e-07
KFAC-M-1,2,conv2,792866344425.1143,6.481716456694764,145,145,18,32,1e-07
KFAC-M-1,2,fc1,100000000000000.0,6.745847115225253,484,1569,98,128,1e-07
KFAC-M-1,2,fc2,407989639296.292,5.828732720138917,100,129,10,10,1e-07
KFAC-M-9,0,conv1,422.3898021819465,1.3030794763439366,10,10,16,16,1e-07
KFAC-M-9,0,conv2,792866344425.1143,6.48166771121086,145,145,18,32,1e-07
KFAC-M-9,0,fc1,100000000000000.0,6.74910659475926,484,1569,98,128,1e-07
KFAC-M-9,0,fc2,409588856387.0213,5.8328274169468655,100,129,10,10,1e-07
KFAC-M-1,0,conv1,420.37501510241503,1.3025668998026732,10,10,16,16,1e-07
KFAC-M-1,0,conv2,792866344425.1144,6.484409213313432,145,145,18,32,1e-07
KFAC-M-1,0,fc1,100000000000000.0,6.74436906730622,484,1569,98,128,1e-07
KFAC-M-1,0,fc2,412069664908.18805,5.8297109567422405,100,129,10,10,1e-07
KFAC-U-1,0,conv1,282.1803850614018,1.218976411394667,10,10,16,16,1e-07
KFAC-U-1,0,conv2,792866344425.1143,6.522408711429233,145,145,18,32,1e-07
KFAC-U-1,0,fc1,100000000000000.0,6.709125571325755,484,1569,98,128,1e-07
KFAC-U-1,0,fc2,246868412625.0368,5.720988578307246,100,129,10,10,1e-07
KFAC-M-1,1,conv1,425.0006248520132,1.3036948003022557,10,10,16,16,1e-07
KFAC-M-1,1,conv2,792866344425.1143,6.477959604523103,145,145,18,32,1e-07
KFAC-M-1,1,fc1,100000000000000.0,6.748258709786421,484,1569,98,128,1e-07
KFAC-M-1,1,fc2,402148541979.02057,5.829993774388125,100,129,10,10,1e-07
KFAC-U-1,1,conv1,283.59572513839834,1.2199655768885607,10,10,16,16,1e-07
KFAC-U-1,1,conv2,792866344425.1143,6.524044544138724,145,145,18,32,1e-07
KFAC-U-1,1,fc1,100000000000000.0,6.724017819169811,484,1569,98,128,1e-07
KFAC-U-1,1,fc2,242488911736.0016,5.7199413775679755,100,129,10,10,1e-07
KFAC-M-9,2,conv1,420.7688159474229,1.3020132863869958,10,10,16,16,1e-07
KFAC-M-9,2,conv2,792866344425.1143,6.4835905965846905,145,145,18,32,1e-07
KFAC-M-9,2,fc1,100000000000000.02,6.747558305617543,484,1569,98,128,1e-07
KFAC-M-9,2,fc2,417057389980.9398,5.830258011830092,100,129,10,10,1e-07
KFAC-U-9,0,conv1,284.1768964949075,1.2208017649405956,10,10,16,16,1e-07
KFAC-U-9,0,conv2,792866344425.1143,6.523942250731192,145,145,18,32,1e-07
KFAC-U-9,0,fc1,100000000000000.02,6.724071516492726,484,1569,98,128,1e-07
KFAC-U-9,0,fc2,258974480535.23532,5.7237648093836135,100,129,10,10,1e-07
KFAC-U-9,1,conv1,283.49338240305923,1.2203038172089735,10,10,16,16,1e-07
KFAC-U-9,1,conv2,792866344425.1143,6.524257404023055,145,145,18,32,1e-07
KFAC-U-9,1,fc1,100000000000000.02,6.727164411345779,484,1569,98,128,1e-07
KFAC-U-9,1,fc2,250115626746.71692,5.721637626916842,100,129,10,10,1e-07
KFRA-block,-1,conv1,422.803190509642,1.3149914922320742,10,10,16,16,1e-07
KFRA-block,-1,conv2,792866344425.1143,6.474767327436635,145,145,18,32,1e-07
KFRA-block,-1,fc1,100000000000000.0,6.764083087537304,484,1569,98,128,1e-07
KFRA-block,-1,fc2,400350580998.3682,5.829778538551252,100,129,10,10,1e-07
KFAC-U-1,2,conv1,278.55288779691676,1.2161115327252678,10,10,16,16,1e-07
KFAC-U-1,2,conv2,792866344425.1143,6.520502533299231,145,145,18,32,1e-07
KFAC-U-1,2,fc1,100000000000000.0,6.711009520914322,484,1569,98,128,1e-07
KFAC-U-1,2,fc2,252911393437.35312,5.720623729932909,100,129,10,10,1e-07
