method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon,accountant_steps,noise_multiplier,clip_fraction,mean_clip_factor,mean_clipping_severity,mean_transformed_norm,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,samples,batches,algorithm_epoch_seconds,wall_epoch_seconds,private_samples_per_second,seconds_per_batch,exact_forward_backward_seconds,per_sample_precondition_clip_seconds,ghost_first_pass_seconds,ghost_second_pass_seconds,aggregate_transform_seconds,noise_step_seconds,activation_forward_seconds,curvature_backward_seconds,factor_accumulation_seconds,matrix_function_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count,m_raw,m_reference,scale_match,preconditioner_build_seconds,synthetic_generation_seconds,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,private_train_seconds,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,diagnostic_postprocess_seconds,evaluation_seconds,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes
M3_a_ghost_p025,123,1,0.6627768492087339,0.45152981114387514,0.9139,0.7861127240333559,234,1.068115234375,0.5996260643005371,0.45252615213394165,0.5474738478660583,152.40284729003906,7.226053237915039,497.2042236328125,1621.9146728515625,2468.836181640625,59904,234,9.178411564789712,10.313051311299205,6648.281161416143,0.038506193373065725,0.0,0.0,3.5732136974334727,0.3047318406105041,0.023713791310787113,0.0264795195907355,0.004341887950897216,0.0,0.038494944084435705,0.11911705780029297,10,0,0,2560,9998116,2499528,8747.811218704848,96820.3267271574,3.3268526876481608,0.16796231549233198,0.005496831893920898,9349120,241172480,167364096,245366784,158014976,0,9.01044924929738,19348480,245366784,168558592,245366784,149210112,0.025602204725146294,1.094886800274253,168558592,245366784
M3_a_ghost_p025,123,2,0.4043763641618256,0.3340958664998412,0.9418,0.8385078418579571,468,1.068115234375,0.21297408640384674,0.8191198110580444,0.18088015913963318,25.907398223876953,0.002013796241953969,57.99470520019531,393.29803466796875,584.6192626953125,59904,234,8.686196414753795,9.819182563573122,7020.666107728122,0.03646377652374088,0.0,0.0,3.5614895725250255,0.30545885193347944,0.023620063282549328,0.015232671923935489,0.002687168061733245,0.0,0.028666336055845024,0.11873632049560547,10,0,0,2560,9998116,2499528,33819.1983835208,153163.35845932498,2.128118395044424,0.15367270819842815,0.0034240000247955323,9349120,245366784,167364096,245366784,158014976,0,8.532523706555367,19348480,245366784,168558592,245366784,149210112,0.025577238760888577,1.0940142823383212,168558592,245366784
M3_a_ghost_p025,123,3,0.3227367564144298,0.27654636354607065,0.9512,0.8909029596825585,702,1.068115234375,0.16174212098121643,0.8619520664215088,0.1380479633808136,19.78125762939453,0.00031724025029689074,15.29786491394043,365.50665283203125,504.0184020996094,59904,234,8.647318383678794,9.767856967635453,7052.869659881869,0.036297282148311794,0.0,0.0,3.5618133754730255,0.30538627672195406,0.023635967284440923,0.01522588794678457,0.0026686720550060266,0.0,0.028652608390897515,0.11893862152099609,10,0,0,2560,9998116,2499528,41784.51946929571,163701.86854381373,1.9793341251602032,0.153754360973835,0.0033401920795440676,9349120,245366784,167364096,245366784,158014976,0,8.493564022704959,19348480,245366784,168558592,245366784,149210112,0.025152825750410557,1.0820961855351925,168558592,245366784
M3_a_ghost_p025,123,4,0.28432852590185964,0.2366805463258177,0.9592,0.9432980775071597,936,1.068115234375,0.1366853564977646,0.8833740949630737,0.11662597209215164,17.993528366088867,8.854898624122143e-05,6.490711688995361,377.79974365234375,573.7953491210938,59904,234,8.624767318367958,9.750595125369728,7071.474073473569,0.03620178725681881,0.0,0.0,3.560376539230347,0.30555405163764937,0.023769215345382608,0.015204287923872534,0.0026604800522327422,0.0,0.0286600003130734,0.1189315185546875,10,0,0,2560,9998116,2499528,47264.23710409436,170041.17686331153,1.8967527608784505,0.15354910027235746,0.0031480000019073486,9349120,245366784,167364096,245366784,158014976,0,8.4712182180956,19348480,245366784,168558592,245366784,149210112,0.02671113982796669,1.0857687639072537,168558592,245366784
M3_a_ghost_p025,123,5,0.2615272978432158,0.20941849481045502,0.9608,0.995693195331761,1170,1.068115234375,0.12080996483564377,0.8964716196060181,0.10352840274572372,16.44049835205078,4.1929401049856097e-05,3.1907520294189453,376.4830322265625,516.8711547851562,59904,234,8.683720979839563,9.817971056327224,7022.3977896184315,0.036454784771443434,0.0,0.0,3.564277061462405,0.30557424283027645,0.023761919327080154,0.015209855943918302,0.002653504014015197,0.0,0.02866483258083463,0.11863887786865235,10,0,0,2560,9998116,2499528,51424.70372952869,175532.1088979481,1.8475337734093948,0.15330134332180023,0.003195456027984619,9349120,245366784,167364096,245366784,158014976,0,8.530419636517763,19348480,245366784,168558592,245366784,149210112,0.0256250137463212,1.0953847020864487,168558592,245366784
